Apalaí,Apinayé,Apurinã,Bakairi,Guajajara,Guarani,Kadiwéu,Kagwahiva,Kaigáng,Kaiwá,Karajá,Kayabí,kayapó,Macushi,Maxakalí,Mundurukú,Nadëb,Nambikuára,Parecis,Paumarí,Português,Rikbaktsa,Sateré-Mawé,Terena,Tukano,Urubu-Kaapor,Xavánte
opih,atàmnhwỳ,oaãpoko,tianka,zanereru,jogueroayvu,dinapalo,nhiramonha,pasa,terenhemombaꞌe,rexibutuny,afuakar,akanikwỳnh,eetîꞌnokoꞌmatoꞌ,hẽn,epetobuxiki,ramaher,hittx,ximaxiyehare,avakapoarijahaki,compreende,tsimykza,wyꞌi,purudén,yapi,allaycunchic,aropis
tõturuke,uro,pinitiriakori,mâxidâ,zazeru,oke,nowien,azor,nĩnu,mimby,ririradỹỹny,ruag,ajapôx,ayewanmîrîꞌnen,xupepm,iwãtaxipipi,beher,khaixnhy,ximabakala,vavahojara,distribuí,zizukuk,iꞌatmi,yuvorókoa,yeétikã,imanamänayquipä,nhimirowah
ikurãkah,hpãm,amakini,nhajimanâ,zazeꞌe,reaꞌanga,modinawan,ỹhete,prã,oapyka,rexisuny,ekor,kajkep,yawaꞌwî,nũgkutn,awerom,rakaner,yaxt,axatyahanikijitere,biananokhomi,desamarra,tsikziksizo,toꞌyat,embémo,bɨrokã,ayacuśhancunäta,tiwah
tukurãkatopõ,ixtõ,masãpiretakani,kiungu,nuzeru,nhombojexavai,onigot,anhinonga,kykũ,marany,reakõ,tupaaꞌmyw,rĩt,eeperepî,yãykutn,jewaokaka,rabaher,ixtx,exoitere,aiba,cuspi,tahadisahaba,tuꞌyat,kihuhévexopa,miáatikã,wañunäpä,simiropis
ezuezuhtopõ,inhmy,misiritakoni,âtyren,wazeꞌe,nomovaẽi,nigec,pejiju,jũgjũ,oronhemombaꞌe,relyyhyy,wepyeꞌem,amitĩn,yariꞌku,ũxãn,cekay,kaher,kaixtx,niraetere,okananahinara,molha,niharapebaka,motpap,ihúve,pɨámukã,lulaynincunapïta,wanhimirowah
tynapiakah,akumrẽx,okanakakiti,kugu,hereru,omboguai,odiwokod,teudas,péju,onhembotejujagwa,raitxỹteitxỹteny,orojeapyoeꞌem,tujarô,mîîpan,hãpxum,ipotpoc,maber,wahxnx,maerane,aogajahakira,descobri,mynaharakoroko,iwyꞌi,simópi,âkã,wasilläcuna,wasipis
oturupotopõ,wỳj,tomee,kâintâ,neremiru,peura,metiw,hakuhete,vigve,ajaka,riwahinyõhyy,nekokatur,djukaprĩ,teraꞌmapîꞌseꞌnî,ẽgnãg,cesayruruc,rakaher,lotx,tawitere,avakaborora,exclama,naharapewowohikik,tutcu,ókopi,romakãha,ñuñücunäpä,azah
onymenekah,panhĩgêt,iorotiko,kytâwâ,pureru,itui,menaan,melqui,gã,tupã,rawitxiradỹỹ,iapeꞌog,bimràk,uyettapusin,hãmpẽn,eykay,tamanaher,tott,nahá,inajahariharibakhia,sufoca,tsimymysapywyky,eipai,ixokono,nemorãti,masinchiccunaman,dazah
mõkomoh,patre,initiriakori,kienmanâ,napezeru,oxẽ,ajinadeeg,onhimombyry,jãvãnhvã,onhemomburuvixa,rotamany,resagesager,idjàptàr,yapurîtîpon,xexkãn,tadaiboc,tabaher,kaixj,xiwaiyaka,kanahoarihakhama,enrola,nisiupyksik,saity,viyókeova,tãrákã,uycunanpä,tinhimirowah
yzeh,ixtõx,kakiiniriteri,nhunâgue,zanemuzeru,oxarura,dinigajet,laodicéiape,tãgtũ,kaꞌagwy,raratynyõle,davir,ngrành,eseurîmatoꞌ,ũmãg,ũi,ramer,nxext,hotikihenere,akavaihinika,navega,mynakuruku,sok,pikoné,mɨhákã,juana,asiwas
ryhmatopõ,pôristi,asanare,idâon,nueru,nhanhomboaty,aam,nderuviha,fỹ,imburuvixa,roholaõhyy,jarejeateer,krà,yapiꞌsaꞌyaꞌnî,xupakg,wesorar,mabaher,hẽts,kahaiharetyakitere,dohikhama,aproveita,tsimysizororowyky,wepai,koyéno,peorãti,arrinlaycunallanpä,dasih
aomih,jare,pitari,ingüizeân,upureru,mboja,ǥadot,gwuha,ké,tagwato,rityhynyrenyõhyy,kunumĩmer,bamar,yamaꞌrunpayaꞌnî,pẽh,pupum,ranaher,hitnx,maxaimane,nahokahi,chicotea,nisiytykyryk,hag,ihíhauvo,isétikã,cawsacula,wawas
osepynohtopõ,kapxipix,ikapokiã,kânâmi,nanepur,ojoi,moibanoot,mesopotâmiape,kaga,tomombaꞌe,aõkõhyyle,oroꞌyr,babôx,tuutîsaꞌ,tupm,awerorom,baher,thats,wisomitere,kakodiabakhia,abri,tysioktyhyryk,pai,ehehékope,sõrorãti,uywanacuśhayqui,rãiwah
õturutopõ,htàmnhwỳ,xosee,nhenamanâ,nazanez,ndapevyꞌai,dowicen,aheremimomorandu,rãkã,tetã,rierynadỹỹny,oporomeꞌegiwereꞌem,õtdjwa,aatausinpatoꞌ,xũyg,uyisu,naher,xkx,maimanase,avakanikhariadanoki,xinga,zikahapespihikbata,umi,aînonu,watíkã,wasinćhü,sipah
erẽnano,mẽhpigêt,imatokotini,âsewinze,nazanemuz,penemonda,enatakated,nhanderehe,prá,ysyry,rirarutxiny,tejeaꞌaruꞌjaweꞌem,kĩnhtire,amanunu,tihig,jemuymuy,raher,yittx,naokitere,avanadanodano,pesca,pimyija,ipai,pahukópi,pihikã,caycuśhayquićhü,sipis
anymyh,pahtõx,ixiti,âdaie,hemuz,ovy,awoon,mbotypyvypa,kãké,paꞌi,roholaõle,pejejemirekor,kukãmãre,eraꞌmaꞌtîpon,hãmpen,iboma,raner,nhy,xiyalijini,okajoni,acende,zikzitsetsikik,ewyꞌi,uxópovo,wĩrokã,paycunapï,apis
ẽsemãkapoh,hkrare,isapeo,kozohondâ,uremuz,nhanemboꞌe,jakadited,ndiakokatukwaha,jagfé,mymba,rasuny,pejejakateꞌemeꞌem,idjàbir,epuꞌnîtoꞌ,xitn,ĩjojom,mabaheg,kũts,maxemaisatyaka,okaronara,tapa,tsizisapybyriki,arepo,koyúkoa,nɨrɨkã,lulaycälinäpä,maihaih
nekaropoh,amy,mereẽkani,intyen,nazanemuze,oaꞌanga,wetiadawaan,aheapyka,kãre,yru,ruhuny,weymaw,bikamẽnh,uyannosaꞌyaꞌnî,yĩyxohõnn,tadaibotboc,kameg,sott,wawaiyetitere,biagathi,surra,tsimypamykysoikik,uipai,ikinopi,masitikã,pampäläliptin,aipis
ẽsemãkapotopõ,papxipix,mireto,kâpeân,uremuze,jajerure,yakam,ojoatyvi,mrĩ,erenhembopyꞌa,rexibure,ojaꞌwyjaꞌwyr,ingryk,aimutun,hãmyũmmũg,itabidaoi,mahag,yext,toahiyere,agathanijabana,atira,tynakoro,mipai,haxakeôvo,watími,uycüluy,umh
õkyryrỹ,tãm,ivẽtxitini,nhakobâ,ipurumuze,oikovy,jelic,tera,ny,kaꞌaru,riòluduny,taꞌyreꞌem,idjukaprĩ,taren,hãmkummug,pẽnpẽn,raheg,hẽtt,hikaoloxa,nakaidivajahaki,suspende,nisimyijaikik,ꞌup,matâ,capadóciakãha,acücunäwan,rowas
nutũmah,ixkràmnhwỳ,iaã,âxigueon,nazaneze,pembopaga,baad,nhirembiepiakatuha,grĩ,nhorairõ,rahyy,pejejeaiter,arax,tenpatakona,totn,levit,bahag,ttx,semase,napita,recua,inapupuku,tutu,koepékopovo,tĩhá,lulapaculcäśhäta,simirowah
ẽsemamyh,inhĩgêt,pĩpinanaãkani,nhepajigâ,nepure,oporandu,jajoin,ipohyi,nĩgfé,jasytata,riwaheluduny,jekaruar,bakĩnh,aꞌkumaꞌtu,hũpm,pubutbuc,rabag,khãuhxnhy,enowaha,ikanavafori,arranja,ziksiwyhik,topai,kamokénovi,makárikãha,munapäcuptin,wapis
ẽxih,tũmre,pamarite,kezese,nuwe,omondouka,nixim,galiléiape,mẽgmẽ,vyꞌareꞌỹ,rasõwereny,jeꞌarasig,binhikrênh,pisa,yãytag,asũac,heg,tũxt,xisomehenere,avanahoroa,esquece,zyzykik,ewepai,hokéxokena,esmirnakãha,cayalcächïman,teh
janỹtopõ,ixpãm,atokatxi,kâentyguedon,purumuze,onhemongyꞌapa,libikotan,mondomondopa,sigse,okaru,rarybeõhyyle,jerayrũn,mê,teseꞌmu,xĩnn,uykorereren,rabaheg,waixtx,xíyawa,akaabokara,apedreja,myijaka,wahaꞌup,ihaxíkokono,acaiakãha,cawsananchicta,tah
ynymenekah,htõx,mereẽkari,todohon,nanepure,oiporavo,idinelec,gagwyripe,pãnó,karu,raòwyny,nikutemur,djir,epuꞌtîya,ãnũnn,taojere,nahag,syext,maxaexahetyaka,kanakaidivakhamajahaki,desvia,tsipisapybyiki,eipytꞌat,vepemóvo,bɨrókã,juccunawan,arop
nekaroh,amjên,pakita,nhepagueon,zanepure,rakaꞌe,jolic,jacó,isã,mbarakaja,rua,oporomutareꞌem,abiknor,anetaꞌpî,hãxopm,taẽi,rabanag,thits,xiyaiyitere,avanaviahanokha,reparti,ziksiksiwy,iwepai,ipuyúkexinoa,makâkãha,cuyaśhanchicta,simirop
zuhkah,pahpãm,anirekini,keon,zanemuze,pendeporiau,oigec,yvyakoty,farĩ,itakwa,raubỹtỹ,oporerekowereꞌem,akajgo,tîîkoꞌmamîꞌpî,haxy,osodopi,tageg,wahxs,watitere,ofinira,desafia,nimyoktykyryk,haꞌawy,kutipónu,rãti,nishäcunäpïta,tinhimirop
aosenetupuhtopõ,kràmnhwỳ,apokakini,âzehozeze,hepurumuze,eꞌỹ,libakedit,aheremimbohete,nĩfe,tejujagwa,ritoosònany,rapyr,bapytàr,tîrumakatîpon,xetn,tomukudada,rakahag,suts,xahexe,vanaabajanara,gasta,tsikarasusu,aipai,kayápae,kohokãha,juccunänü,sipi
