Apalaí,Apinayé,Apurinã,Bakairi,Guajajara,Guarani,Kadiwéu,Kagwahiva,Kaigáng,Kaiwá,Karajá,Kayabí,kayapó,Macushi,Maxakalí,Mundurukú,Nadëb,Nambikuára,Parecis,Paumarí,Português,Rikbaktsa,Sateré-Mawé,Terena,Tukano,Urubu-Kaapor,Xavánte
zupiry,,ipaniãtini,kydadakobâd,zanezàwegat,,mikeenit,ikarakatuh,,ndaipuꞌak,taỹjule,iꞌaeꞌema,kunĩd,eeseuronka,,dujuaj,,,wawaiyetite,kaabanibakhiav,vencer,sihyrinymyryniki,,ínzikaxopikenoe,colossokã,aaron,
kuoseanahtoryko,,misãkirepireãpota,nhekadond,hetuaꞌu,,anikanit,atimamb,,nombogwer,atxitenyteri,wemirekoeꞌema,adjumarkamd,tîpi,,jemukor,,,fetyoawihene,dohikhamav,desprezar,opykrẽ,,koepékoati,cesaréiakã,mayanllayqui,
okohmaryko,,nixinikini,egawând,purumuryw,,adapitit,imombyryh,,ndahet,raijemyhỹke,mateepawukaawa,rũnhjad,untîrî,,imujẽmj,,,kerehene,onokhav,perguntav,tsimyokbanaha,,kixópoiko,cretakã,chalaycachiy,
oriry,,napapeka,kydâiehond,tuaꞌu,,doletibig,pejogwerohoh,,nanhembotuvix,araerynanykre,orepytawera,mõrd,nîmenka,,taẽh,,,kaotyakitereha,onofirav,ranger,tsinynahak,,isúkoa,corintokã,cärayquicunac,
ipytary,,auaĩtotiniã,tinwynegu,hepurumuryw,,yapiditibig,rakykwepohar,,ndoroikwa,anaixijuradỹỹnykre,ꞌueꞌema,ibarid,aweꞌperenperenma,,noj,,,hehanite,onahojahav,comprar,tsatahak,,ixapu,tiatirakã,milayniqui,
aytoryko,,kaamoni,inwinkewâd,wanemiꞌu,,nigakatit,ahererohoh,,gwembigw,sutỹmyra,oirũna,jêtjad,nîma,,ujẽmuj,,,hikinate,akanaabosiv,peç,inauzuzukuknaha,,itínoe,nukûkãkã,illayniqui,
opoenopyryko,,iãka,kianlokuând,pezeꞌegaiw,,owikomatiigit,ikih,,ndajahex,riwinyreri,nupawa,pykabêd,nenpo,,muaj,,,hinaiha,ipahiniv,achar,mykparawybyi,,aúngopa,atenakã,cawsaycuśhayqui,
akorehmary,,iĩkitxitini,hugueând,ureruwihaw,,manakatonitet,overaver,,ndaipot,teòdi,naporo,punud,ipaꞌtîpîtî,,wemun,,,waikohekoata,ibodivaranirav,acostum,nisihobyknaha,,ihíkaxoahiko,éfesokã,yacullac,
aepyry,,timaka,kiungud,heremimuw,,eemiteetibiget,anhimondoh,,ndajarovi,riyrewese,renyra,kĩnhd,yenupanî,,ekawẽnkẽr,,,ekaketatyakaha,banakarahov,anunciav,sizokzianiki,,iyúpaxova,capadóciakã,uchuyllac,
pyrypary,,isikapitika,ewâmad,ximuw,,manigotit,nhinhimboukwah,,nanhambovyꞌ,iweere,jarejeaꞌaawa,tokryjad,aarenta,,timuj,,,xiyaheha,okainamov,apareç,izororoho,,itúkapuneoxo,antioquiakã,caćhäcunac,
ipapyry,,aãpakapa,tâdâtuagad,temiꞌu,,eletibig,hovapiak,,ndajapop,bedeòtiidỹỹna,jeruaga,raxd,aweꞌrennuku,,cẽmc,,,hawaiyetite,bikaabokajahakiv,ajoelhav,siwabyi,,koyuhoâti,pérgamokã,yanapämäśhanchic,
ypenetary,,kenakotiniã,nhuxid,uzeruzar,,elioditet,omoirũhar,,onhembosar,biyrubunyke,iosoma,umajỳrtired,eenuku,,subidomukor,,,halakihenahe,iananamithaoniv,lembrar,siotu,,ítaikoa,serikã,uycücä,
tõtukuruko,,nitota,sadyzeând,neruryw,,aniatagigipitet,zer,,jokw,ratyhykre,ojemayrũ,bakabẽnkamd,menkannî,,muwajej,,,isekohalitite,ahananav,profetizav,tihik,,tiyá,romakã,ćhïnïnincunac,
atatapoiry,,hamanaãkasaaki,kanwâd,maꞌeaiw,,icinit,akwer,,nombohekovi,tytyhykỹle,apyakwafuga,pôkjad,naranî,,eymukorẽmr,,,xikanakaira,ariv,devi,ahasukzabyitsak,,ngámoane,mɨhátirokã,chutaläśhancä,
toremiaryko,,namonipara,konhonugugu,urumuw,,etedibig,wovapytymb,,ndokwer,iõbradỹỹ,ajuꞌari,idjaerd,yakoꞌmenkapîtî,,ukor,,,awerokaite,vakanofikhamajahakijanarav,venç,tyziskyknahak,,vivókoponovo,ásiakã,chincaśhancäpï,
enery,,patxisatini,aiehowâd,wanuryw,,niganikanitit,ahererekokatuh,,ndereikwa,anatyhynykre,teura,nyd,unmenka,,wuyaj,,,maxaixahetyakaha,bikaabadav,agüentar,itsaikbata,,kúxoixopone,tiîtakã,paycunapï,
awãnohporyko,,sonata,tintâd,imuryw,,ecot,jirerohoh,,ndajarovyꞌ,ijiradỹỹ,motaꞌwara,mebêngôkred,emoꞌka,,ũnakẽk,,,wiserite,avaigam,desrespeit,tynakananahak,,koyúhoaku,alexandriakã,limalicuynincunac,
kuexiryko,,katxaãka,ienomedâd,nepurumuryw,,enatakanitalot,mart,,ndajajerovi,rexihura,kurawa,myjad,emîꞌpamî,,jepirẽmr,,,kawakatyakehene,akaabanidanokiv,obrigar,tahaupepe,,keyúhoiko,sirokã,camaśhacunac,
ohxirory,,arita,âsemyombâd,zàwegat,,abodigit,renondeh,,nombopag,ibiòwa,amowapirukareꞌema,djeruxarẽkamd,esippiaꞌtî,,wuyekawẽnkẽr,,,waxairaitereha,inasohiv,suspender,ykzoko,,yuixóvoti,filadélfiakã,cayninchic,
aenururuko,,oxinikapika,kâenjitâd,penuryw,,mopoot,ipyhyk,,nombovyꞌ,robimyhỹke,rerowiararetera,kabẽnd,pantakapîtî,,mujẽmuj,,,hamaikoha,onamokarav,tapar,mymysapyrẽ,,yenékikaka,filipokã,awantapäcuśhayqui,
kuytoryko,,ninirekapitika,nhaunguewâd,zeꞌeg,,mipeciteget,nhikw,,esapuk,ratisebedỹỹ,remimuꞌefera,ãd,muurukuntîpîtî,,tujuaj,,,xisehene,ivahojav,possuí,iakzoho,,úkeakune,sodomakã,alluncunac,
imerory,,pimakoketakani,âdaied,penuwihaw,,atikanit,nhanderuh,,nomoirũmb,arahitxinyke,afuakareꞌema,mebêngôkrejad,yenomî,,atujuaj,,,hikaxosetyaseha,avakanarihaihiv,confessav,sitsakyrikrẽ,,koêkune,damascokã,istimäcuynin,
motyẽkary,,maposotakaniã,kiynrend,ikaruk,,majipaatalot,ĩpondekw,,ndojepeꞌ,riitxỹteitxỹteny,peora,atokrymãd,tîpata,,ecej,,,wahehete,najahav,avançar,pykyhytutahak,,kuríkea,ekã,tantiachimäśhallanchic,
kararapyry,,kenakopiretini,saunâtond,uzezàwegat,,axawanitat,gapyhyh,,resar,kidiwahinyke,lukara,abajad,aweꞌmenuka,,uymubarẽmr,,,xamohene,bihonariarav,zombav,mydyhydyhywy,,imékapu,macedôniakã,tucachishan,
epekatyry,,itiretini,ienamad,nanemuryw,,ayatetibig,nembikwah,,ndaijerekw,kyarana,peuwara,kanêd,eekaꞌtumî,,ocemun,,,efetatyakaha,vanakaidivahananav,vigiav,ahakubyi,,iparaxoake,makarikã,ucuy,
kuẽpurihkaryko,,ierapo,nhepadâd,hezur,,atiticoacet,onhimboukwah,,jajov,riwatyhenykre,momoiawa,abikamẽnhkamd,aweꞌrepapîtî,,tomudipc,,,kawete,biriniv,chegare,tyhapepokzitsikinahak,,njokóyoke,icôniokã,jucllayqui,
hxirory,,makatxakaka,kionmaend,heànàm,,adiodit,moirũhar,,rej,ỹjuõ,jepoirũna,kabẽnod,payanî,,uaj,,,mawatyalisakahalotata,dioniv,purifique,sipiakzyzykykbyi,,ikítixapovoti,kurarikã,pinsaśhan,
ãmoreparyko,,aãuika,âwinduad,uremuryw,,mowilecenit,joparapar,,ndorohex,debure,enemaꞌera,kàxkamd,kuranta,,jewãwẽw,,,kakolatyakehenahe,vanofiv,encontrare,ziperykynaha,,itíne,rekã,camalaycachishan,
tooepyryko,,atamataka,kânhek,izeꞌeg,,eetitat,oreruvih,,ndapeipot,ratxirenyke,jepytuna,djupãnhd,parî,,omukor,,,kehexaikoha,akapavakarihav,conversare,bobokoho,,ikorókovo,maakã,masincunac,
etaparyko,,akipatiniã,kânâmid,zanezar,,alideetalot,nhanerembikwah,,ndapehex,aõmysỹnana,poretygiwereꞌema,jejud,tîꞌnapannîpî,,okẽr,,,xakaixarehene,bigathaniv,soube,bykyktsi,,urúkopovati,frígiakã,cärayqui,
zururu,,katakakitapetini,adâjid,zanemuryw,,manawelat,peporavykyp,,ndorohej,kỹnyike,orekuꞌira,môjdjêd,yamannîpî,,tamun,,,hahene,hokah,guarde,siharerewabykytsi,,vekopâti,kurárikã,unayqui,
aarory,,peeremari,âtâgumid,nezuapyapyr,,akagitit,hẽambokaip,,ndogwat,ijõõre,awyruuꞌira,àpênhjad,innîmî,,yawẽw,,,xiwaiyakaha,inathararav,continuáva,iperyky,,mbahúkoa,pontokã,aylluncunac,
oryhmaryko,,omanataika,tiungud,naꞌipurumuryw,,malatitibig,ojagwapih,,joj,rahenyra,ojeꞌegaiwa,djwỳnhd,ipantaka,,jewawẽw,,,wamaikoha,ovajahav,nascêsse,ahapybywytsi,,ókokune,sardekã,challwac,
etapuruhmakary,,pisikata,âdâhowâd,oho,,abatiigit,jikwer,,monget,bedeerywesetyhy,anuwa,kregujad,eesuwaꞌka,,yopkobinõj,,,otehenahitite,onaabajahakiv,recebere,sapybara,,íhikaxoane,makárikã,amcunapac,
yhtory,,tximaka,kywyned,kat,,niwoditibig,ojipyp,,ndorogwerovi,ruò,esageteera,jaxwed,yaapîtî,,emuj,,,ewaiyaneha,anaihotahahaviv,esperáva,myspihikbyi,,pihénoe,laodicéiakã,masinchiccunac,
oseosezuhno,,pinitiriako,tâdâsemawyadâd,àràpuhàràn,,madinakagitit,yah,,ndaikyꞌ,ixideewile,wẽꞌẽna,amikĩnhd,ipuma,,diajẽmj,,,xiyanehitiye,orajomav,tomare,mypoik,,ngoéxepukopea,tessalônicakã,willaycälishä,
esahkary,,kenakoenetapeka,nhenamanâd,zutew,,onawiit,pap,,ndahej,urihixiõ,weapyora,bamãd,yenkasiꞌpannîpî,,epeyawamus,,,ewakaneha,anakamadav,estáva,tatsumuẽhĩtsi,,kepáyasakinoe,arábiakã,aycantin,
oseosezukuru,,otxĩkitakaki,apâd,wamuw,,atematiitat,agrip,,ojoov,riwykre,oroporenuwiwera,myd,koꞌmanpîtî,,jeej,,,alita,akanakaidivakhamav,desembarca,tsihyrizikporẽta,,namukoâti,sidṍkã,uśhancunä,
etuarimary,,pipimaã,indâtygu,iaiw,,adeladit,br,,ombosapuk,nohõtilosaõ,numia,kàjkwakamd,yaꞌpiꞌtanîpî,,eymukor,,,niraehene,vajahav,ajudar,kahanamyrẽ,,púvea,jopekã,nanaynincunac,
nyhmapory,,axinikaika,nheinzesegu,ipurumuryw,,etibig,ekupeup,,namongyꞌ,ratỹnyke,pẽfuakapawa,pykakamd,tîkarawa,,upin,,,xasemaxematya,avakhanijahak,aconselha,taperykynaha,,koépekokono,acaiakã,malcancunapï,
tykerekeremaryko,,iseretini,kinwânwânsezed,noho,,moicitibig,tapenhikw,,naimanduꞌ,roosiby,orojemiesaga,djàkrêd,tîntîrî,,tujuj,,,héxa,avanaihotav,conversar,sitsasohokotsi,,vénoyeovo,mesopotâmiakã,wawincunac,
eraximary,,hĩposota,nhanâk,umuryw,,watacotibig,nderup,,gwugw,tawedudeewi,poirũna,jarẽnhjad,saꞌmo,,õmukor,,,xikatihake,biarakhav,crere,byryzykuyk,,exoahiko,apêrokã,müdanallan,
aemynyhmary,,apĩka,wonugud,napemuw,,anigaaxet,garamonh,,nerepen,aõbinahakỹle,aparuapowera,makud,aweꞌrataika,,imukorẽmr,,,xaisaseha,igairiv,sería,siakubyrisorokrẽ,,iteápahiko,itáliakã,chutay,
onuhpitory,,pimereẽpi,tyeinwând,azemuw,,nigadigitit,haimbepirohok,,napeteĩx,rexieryrenyõhyyle,panapera,biknord,atasuꞌka,,jewemukor,,,makaketatyakaha,avanigafanibakhiav,amáva,nibibibakanahatsi,,kuruhúxovotine,babilôniakã,ćhaclä,
tuarimary,,kĩpitini,kâtunâgued,heràpuz,,yaxawatibig,penamonh,,ojokw,iximynamyna,pẽneateera,ôkd,yanpuruma,,jeymukor,,,xatyahite,onokiv,vestir,myhyrinymyrẽ,,ókinoviti,beréiakã,atimünincunä,
amorepary,,paniãtaika,nhakaladâd,heremimuꞌe,,enitalot,jykyh,,rerosapuk,ibinana,epytuna,nod,esenkaramo,,yadujuj,,,ximeme,baranahabakhiav,sair,ziwerykynaha,,hokotí,dɨpɨkã,llapayqui,
toytoytory,,akamina,kâynanâgu,amuw,,adinecoatit,wembikwah,,erembojov,rajeijei,juowaja,kàkamd,eesenumî,,wuymukorẽmr,,,kanakairoa,badarav,possa,myspirikporẽtsak,,poéhapoane,elãkã,cutimunä,
yryhmary,,kamasãkireta,kâindâtygu,hemimino,,adiolaatedicet,mombyryh,,ndapevyꞌ,aõhuluhuduna,otaꞌuweꞌema,djàtid,iraꞌtîpîtî,,munẽmn,,,nafetahene,anikhav,morrere,jabasta,,kixópane,sumútohorikã,yaćhapacücä,
jezukuru,,ninapapeka,yakad,zanemurypar,,adexocitigit,ndepyp,,nhandé,ixiòwydỹỹõ,jarekuꞌira,bakwỳd,urunu,,epetujuj,,,wahakotite,vakaihamahikarahov,desisti,ahabyitsak,,kuríkoanehiko,kurákã,imä,
õtururu,,pimakamakanisaaki,tâjiewiâpad,penemireko,,adalakitat,kwaharah,,nhandejé,uridỹỹõ,wemimuꞌera,bẽnjadjwỳrd,anarî,,jetabiebar,,,xahekole,bikanokirav,prejudica,harerewabytsi,,kúxeopa,basárã,yaćhachipäcuśhac,
ropa,,mimarotakanisaaki,tinwyned,ipurumuw,,emiitecet,mondoroh,,oré,biòwa,ꞌwyriaꞌrira,mõrkamd,neꞌka,,jewemun,,,ekaisereha,vahonariafiahav,alcançar,ahapokzitsiukbyi,,akapapi,tîrã,ipincunac,
jytojytory,,piĩkitxita,adaenkewâd,uremuw,,anonodetibig,kytih,,xejé,irurukõ,rupawa,bakukãmãred,uno,,mubarẽmr,,,nehene,inavagav,sentía,zumukunahatsak,,kurúhuxokonoku,nɨmôtiti,caminaycünincunac,
korokary,,paniãtapeka,kâinwând,ipaw,,madinakatonit,mombap,,ndé,tabededỹỹnanaluu,jarejeapyoaꞌneꞌema,kôkd,yameꞌka,,jemuj,,,xawaite,kakamakar,precisáva,takyriukinaha,,apoako,wɨórã,asicaćhacuyniqui,
otuarimapory,,aãuĩteako,aguyed,heruryw,,atematiitedibecet,ndyapeh,,ndejé,riheteriheteny,imuorywa,kregud,eꞌtîrîka,,etujuj,,,himatawatyaseha,naabarav,agradeça,sipokzitsarẽ,,héka,yuúrã,canannü,
arory,,asikini,kâindad,uzar,,emaanit,penduh,,pendé,iijoireny,afukaja,ngrerd,erîꞌkapî,,õaj,,,kaxaotyahalikisakehenahe,inokiv,batis,zitsikpaparakanaha,,késeananoe,masitirã,trïgucunac,
oenupunaryko,,kakamare,xyâwâd,imyrypar,,eladimigipitedigit,nhimbukuh,,pendejé,ritobinyreri,remiayuweꞌema,bajãd,aweꞌsekunka,,yadujuaj,,,kaxawaiyanikisakehene,najiribiininiv,despedir,atsipa,,kíxovokoxea,duhirã,talipämäśhan,
tũmary,,txikotini,nhekaend,netuaꞌu,,madedianit,ver,,orejé,ariòlòdỹỹnyke,pejejeapyoeꞌema,batykjad,esekaremekî,,mukorẽmr,,,waiyake,ivakaijokabiininiv,navega,nirata,,íngutipasikeova,tẽríti,milachipäcuśhan,
kukurãkaryko,,arakaka,adatâwâd,waꞌyr,,awiitibiget,erekwah,,xé,rikikyhynanyrenyke,enekaruara,nijad,arapumî,,subidoaj,,,halakihene,vakaimajahakhamarav,alcançare,sispirikponiki,,koénehiko,duutírã,nipäcuśhayqui,
jerokuru,,hãpokini,âwiend,wazàwegat,,nawelatacibig,onhinondeepiahar,,aporop,arotỹỹnyrenyke,porokatuꞌogiwera,kêtd,yeuronka,,mukẽrẽrẽr,,,notyomite,avakajoamorabakhiav,avisa,haraharezipyryk,,ákovoti,têrã,lisishä,
kuoseneryko,,aõereka,adienk,naneruryw,,oiwokotibig,ipojykap,,penhop,ronykre,paulora,djwỳd,poꞌpîtî,,epir,,,ximaenorexaha,ihimijanar,comporta,tsiktsaikbata,,úxopinova,karíkũrã,yaćhachicuycä,
oenetuputyry,,hõereẽki,inwauntud,nemuryw,,monakatotibig,moanhand,,onhop,teewi,iꞌwawa,idjakd,aramorî,,jeymuj,,,hatyate,ovaabisakarirav,vere,ahaoktyky,,énomopone,yuuti,cäsuculcäśhayqui,
tõnukuru,,kaxinikare,inwenkewâd,napenuryw,,adoteteniteti,gajukah,,nanhaip,ritxuake,pejejekowereꞌema,ngônhkrãd,tîꞌnoko,,eyekawẽnkẽr,,,kajihiririkisakihitite,avibaiv,falsifica,awatahak,,kuvóvone,diharã,maquincunapï,
kuoepyry,,itikaka,adaenkeond,numuw,,alideeti,mboukwahah,,nhaip,waaõhõkỹ,resaukara,pad,paꞌtîpîtî,,tiaj,,,imexehititereha,diahir,pertencer,baka,,katúyapinane,wãkûrã,chalapacücunapï,
kuorikyryko,,iuakoãki,âdawid,wanuwihaw,,adiciti,oporavykyh,,tapenhop,aroike,opyꞌaꞌwyreꞌema,ikwãd,inuꞌtî,,jẽmj,,,hakaixaretite,dijahakiv,adore,tsimoewynahak,,apea,nɨrôrã,marcos,
ekyiry,,õpirĩka,anhesezed,pezàwegat,,otetenitibigi,ndiakokatukwah,,napop,ridykre,yaura,bingrà,atîꞌnapamî,,dujuj,,,maiyomeneha,kahibakhiav,examinásse,tanora,,kixonú,turiárã,sulpä,
õmomyryko,,nimina,aguiensezegu,hemiruzeꞌeg,,dinalaketibigi,ẽhar,,oporop,kawyra,jarejemogypyygarũ,bikamẽ,karakapîtî,,wuynaẽh,,,aijitatereha,oanavagahav,abri,pehabyi,,vépeminopi,karã,librun,
oetaparyko,,oiarikaka,nhoend,pezemuryw,,moicitibigi,matetỹh,,peporop,teroxiteri,janeporenuwiwereꞌema,kapõ,newanma,,imukor,,,wimeme,inaabiniv,iría,mynamybyi,,kuteátine,masîrã,chimpancunapï,
ukuro,,katxitoãko,kienkagu,heruwihaw,,iwikodeniti,ipojykah,,hemip,ikõkõ,oꞌwyriara,kangõ,yeꞌkapîtî,,ocaj,,,maxaokarehene,dihahaviv,passáva,siakyriukrẽ,,xaneâti,wẽherã,librulläcunac,
toetuarimaryko,,nitama,âzepajiwâd,eremuryw,,onitibigeti,iponhimam,,penhombopyꞌa,kidiòtiidỹỹna,momopoawa,ajabatà,naka,,yabidij,,,tyaonehenahe,anakarav,pesca,zikahabyiki,,maní,uúkũrã,capishllayqui,
riry,,moianatini,aguiensezed,wemireko,,ateti,jikih,,ombopyꞌa,atyk,auwanawa,imẽ,esewankonoꞌmapîtî,,jewenaẽh,,,sehene,vagathaniv,cita,soko,,ipuyúkexinoati,katíti,aclacuśhancunä,
jekarory,,kamaenetako,anhek,heremimonokar,,anakatoniteti,opoit,,toro,tira,etywereꞌema,bamẽ,tînpîmî,,eyawẽw,,,kaxaisakare,vanaoniv,procurar,myarapukrẽ,,kotóhineyea,wetírã,lulaśhancunac,
kuemynyhmaryko,,napakapa,keond,penemimuw,,adiniwiniti,imombih,,orombopyꞌa,ijyyõmykre,poromonowera,ajapa,epantakapîtî,,waj,,,iyomaxe,okhaonan,vivêsse,zinymyryka,,kíxovokoxopane,yabîrã,nunacunäpï,
emynyhmary,,hĩkĩpitata,ingueânehonwâd,uzemuryw,,abaategetati,oapyk,,oronhombopyꞌa,tainatãõna,pejemanũna,amipã,eꞌrepapîtî,,jemun,,,noxakaihakaite,vahonariav,cede,wezowy,,ípihea,duhîrã,lulaycuśhayqui,
isekeremary,,itikaika,nhesed,namuryw,,adaxawaniteti,nhanembogwerah,,hemimbopyꞌa,tadeòdu,imojewakawa,abikamẽ,ewomî,,imun,,,hikoitereha,vavaisarav,morrêsse,byktsi,,ngáyukopinopeako,paâperã,filologoc,
karyro,,niuikini,yeinwântond,hemireko,,ipokitaloti,garendukatuh,,nombopyꞌa,tarybeòle,janetywera,abibã,eekomiꞌmakapî,,tujujẽmj,,,sekakohene,narifirafirav,negar,ahasorokrẽ,,ngóyene,yoô,arinacunac,
oekaroryko,,nipimaã,nhaduând,hezemuryw,,aamiti,imbuhup,,nhambopyꞌa,texihy,waꞌyra,ikaki,yapisîtîpono,,epaj,,,maxaikonomane,ithov,queira,tsimypamykysonahak,,ihíkaxa,rɨti,simintun,
kuytory,,niposotapitika,nhenuagaend,nuzeꞌegaiw,,xebati,jiporavykyh,,pembopyꞌa,aòlòkò,oporomukura,badjàpê,ikuꞌna,,ocemuj,,,xakaitahe,vakanavaranihabakhiav,ilegíti,namyspirikpoko,,ovokoâ,sootí,wataläcä,
õtukuruko,,auĩtearita,tâdâpeând,turyw,,madiwiloti,ing,,imbopyꞌa,watiowoti,janeremiayuwa,amikamẽ,yenupantoꞌrî,,toyj,,,xihatero,anokhajanarav,entregaría,sihyrybata,,ngutípoa,tutuarã,imaniculcäśhan,
tõtukuru,,niamonĩka,induakewâd,pemuryw,,akaamitaweceti,mbuah,,ndoꞌá,riteysadỹỹnykre,raarana,badjujarẽ,waikîpîtî,,ujẽmj,,,mahowitiha,ohonariafiahav,tratar,sisopyksapybyi,,ákotihiko,utîrã,gänaśhacunac,
aerokuruko,,ikoketa,nheinled,hemimuꞌe,,anajipaatati,henonhand,,ndikatuvé,itinysỹrenyõ,afueweretetera,ajangjê,yenuꞌtî,,dupcẽmc,,,wahetakoreha,binamaakariv,reinare,karikutsitsi,,ivévakapihi,sãarã,acunapï,
josenetuputyry,,napetini,kionmaengu,hezàwegat,,adiloikatititi,ypytunahivuhuh,,nonhemopotĩmbá,tuudỹỹdukre,oroporomutara,batĩndjwỳ,eꞌkupî,,dajẽmj,,,xairatyaseha,aananamithaoniv,adorar,ahapybyrẽtsak,,koéhati,tuúrã,estaquis,
oetuarimaryko,,ikiomaneako,yatuand,taꞌyr,,maxawaniti,imbogw,,norombogwatá,tarubule,ojeꞌari,japa,eꞌrennuku,,uykukuk,,,ihahala,kakodiav,confie,sapira,,ihaxíkopiti,dɨpóti,camachicuyninchic,
opoihtoryko,,nikerokini,âepaigueond,har,,aniitiniwaceti,rerekokatuh,,ndaikyhyjé,witxiradỹỹrenyõ,kũjãmukufera,abikẽ,esenponî,,eyetabik,,,waiyekehalake,ahajanarav,ínti,nisihyrinymyrykynaha,,íxopo,peharã,cawsananchic,
penetano,,iuãkata,eongüend,uzeup,,eloatiteti,orerenymb,,ndorojapó,rairumyrõ,tejemimuꞌera,ijapa,naꞌtî,,wuyetabik,,,naokowitereha,avanagathogathov,conservar,sibotoarẽ,,apoane,irã,tablachacunac,
oeparyko,,anikapitika,nhenokud,urumuryw,,anotiticogiti,imboah,,ndoroipotá,ròtiòrò,mogyawa,apumũ,tînarakkamo,,itabik,,,isehenereha,avaasaf,entregare,deustsabyi,,ikopohiko,sõróorã,canïlacunac,
toorikyryko,,potxitako,saseudond,naheruryw,,adelewiti,kwepyk,,ndapejohayhú,aõikõkõle,iꞌwyriara,amikadj,esewankonoꞌmaꞌnî,,omuyk,,,akomaniyatyakijoitereha,ihokirav,orgulhar,ahapokzitsibyi,,koyuhópinoahiko,turiarã,pulbüllac,
aytory,,xerosareẽmonika,sapabilad,uretuaꞌu,,manajicitiwati,gaporavykyh,,resará,wiòmysadỹỹõ,akuꞌieꞌema,bakadj,weꞌneꞌpîtî,,muyk,,,tyomitereha,kanav,espantadíssi,sinamyniki,,keyuhópovoti,weesétirã,munayniyücunä,
oẽpatapihmoryko,,ikamapani,kydohoiwad,tuwihaw,,icootati,nokw,,nderejejavý,ròhònyreri,pejejejorywa,ikadj,wîtîpîtî,,jediek,,,kahinaehene,kaabadaronahav,profetizáva,motsasokonaha,,aúkopovone,kũurã,cäniqui,
merory,,katore,nheinwânk,zanezemuryw,,oimonyatibigi,men,,nainembá,riryry,tejeꞌarasiga,akadj,nîkoneka,,acejewemu,,,iraexahene,avanaabarav,lembrásse,ahakedepyk,,ngoyúhoyea,ɨkɨárã,uycunac,
euhkary,,himarotatapanika,kytyend,uzeꞌegaiw,,dinibinietibigi,okwer,,ahán,ixixana,tena,axwekumr,pikka,,osukamu,,,maiyalahareha,onihimahahavirav,nicode,tsimyzurukunaha,,évekoaku,korã,salbaśhuśhayqui,
menekary,,akirinãtini,kienehonzezed,numuryw,,aboti,ex,,ndoryrý,waluudu,mogyara,amexkumr,erennuku,,jewebumu,,,xowake,ikanarihairav,ficare,sihyrinymyrybyiki,,koúsokoa,mârã,puydïpï,
tywyhtywyhmary,,ikakarakitsata,tâjiwypad,tàpuzuhu,,adibanooniti,gajivyh,,ndapehejá,rarehyykre,remeꞌyꞌwari,katikumr,yekuꞌna,,ecewemu,,,ximakaxaikotyakaha,kanabadan,pudésse,isperytsi,,pehúkoiko,bokati,aticaćhapämäśhan,
omirory,,himoianatapeka,kâjityend,wamuryw,,axiniteti,rembirekoh,,nahesã,bexilỹxinyke,jeporomukura,apytàrkumr,erepannîpî,,jedae,,,kawatyalisake,ikanavaforiv,fazer,tahatsumuẽhĩnahak,,kixopâti,kurã,ishyayninchic,
tonetuputyry,,asikatikinita,nhepadâdond,nazaneruryw,,ewaligitibigi,imboheteh,,nambopoxý,riraòhyy,enũꞌẽna,krakumr,rukkuꞌnîtî,,jedoye,,,menite,kaabokajanarav,parece,sisukparatsi,,ainóvotikopo,rirã,mujuc,
tũtary,,akamaerekataki,adamuned,huryw,,adinoetiti,nduh,,napenhembohorý,rariòrerenyke,rapesakara,akatàtkumr,eꞌmopîtî,,jeweimu,,,masemaxemalaha,avakahojairav,precisare,simyhyrizikwaniki,,ípukovo,butíti,lulaynincunapï,
ooepyry,,txĩkitakiniã,sapadond,iranaiw,,mawinitibigimeceti,nemimbojah,,namandá,riratysebenyke,peꞌara,irãkumr,uyarakkamo,,jeee,,,wikaxaotyakisakehene,akarajomakhamav,use,mysibanaha,,úhepetinoa,masítirã,lädupï,
oseosetapary,,apakapata,indasezed,hemuryw,,axakenitibeceti,gamoirũhar,,ndaperahá,retyyke,amanũmarũ,abôxkumr,iparî,,eyc,,,mahotiraha,vanaabav,conserve,mytoriwy,,itukeu,erã,luncuyqui,
ayaytory,,hiãtapakasaaki,kienwiâsed,hemimuw,,ipokitibigaloti,hokairung,,áry,bihydy,ismaeura,kôrkumr,yenkaruꞌnannîpî,,imuc,,,xaiminijite,akamithajanarav,mandáva,niyta,,kuxoíxotine,dihórã,barcun,
zatyry,,hanikata,nhapygued,hemuw,,manawaceniti,repyp,,noikotevẽ,deòduwesele,ojeaꞌgwawa,rĩtkumr,esenumî,,omuc,,,kasemake,khoriv,jantare,siwatawyhy,,inámapoti,tuuti,chalacuncunac,
erokuru,,amisirita,ingonod,wazeꞌeg,,ayatetibigi,enhenymb,,nomendavé,riròkre,ejenuweꞌema,araxkumr,newanmîrî,,obic,,,kaiyanitohene,ragarirav,cansa,sudeutsabyi,,émbeminopinoe,dɨpoti,cänincunac,
inykyry,,itakanapiniã,nhomaend,izàwegat,,abatiigiti,nhirembikwah,,rekohá,iaõwidỹỹna,jareojereꞌema,ikaprĩkumr,yarataika,,emuc,,,xikaiyakehetehene,binakavamoniv,ensine,siharerepykyhybyiki,,noínjone,katírã,ullä,
