Apalaí
pokori
serori
aseri
kurãkãkori
enarari
matoseri
tomori
poenomori
oatãka
marori
pokorit
apotohta
enararit
matoserit
marorit
aserit
tomorit
kurãkãkorit
serorit
poenomorit
oatãkat
zehnot
tomorito
jorokohpa
marorito
zehnoto
matoserito
kamarama
oatãkato
imaro
serorito
iirypyryma
pokorito
uruto
enararito
apotohtao
aserito
kurãkãkorito
poenomorito
tõxietũtopito
kupiatoh
mosenuhmatato
tõximõ
maropoato
oeneh
tuputokapo
taorihmapo
tytahka
mexiah
kyriato
tyõto
mekaropoato
tanỹ
tõsemãkapo
tỹpoka
tapoi
tytopohma
toeposohka
juãta
tõsenekunoh
tomuhtapã
ynanetuarima
ynanypapya
tyhxitapã
mexia
eanahtoa
nekaroa
typorohkapo
kyjamihtanohpoa
tykohma
kuuruato
tyxihxihka
toepohnoh
mutũtanohpotato
tapuru
tokahmapito
myporemãkapoa
tukuã
tõsenuhma
ynanapoia
tõxihta
toemotyẽka
tonuka
ynanoserepya
jaroa
ynanexiah
ymeneka
ẽpatakãma
tapiaka
tuãta
tutuarõtanohpo
pynoh
ekãto
tomã
tãtaomihto
meramatato
osanumakehpo
tomyehma
typitahma
oriato
typiapo
soserematato
typipohkeh
tonukehka
tonahka
maryka
tokamokeh
typutoputohma
typoremãkapo
apuruhmaka
tonepopito
totatotapa
ria
ekurãkapo
tõtokotoko
mutũtanohpoato
tõsepory
jyria
taunuhma
torẽnanoh
toraxima
moseanahtoato
mekaroato
tãtãtapoipito
ezukua
tãto
zumyhka
tõsemahxirarahma
typyta
tãtarereka
pakapakahna
totapazomo
tozeh
taxika
moehtato
tõtuo
typeh
tãkyemapo
tymeropo
kuenetuputyato
tõturupozomo
tõsepynanoh
tyeimã
ypynopya
toetuarimakeh
zuka
tãtãtapoikeh
tupa
typyka
toxixihmapo
takuruhta
tymytymyh
enetuputya
toepui
typanasahka
topory
turukeh
oria
tuakeh
aosanuma
takorekehka
ynanurukepya
weahmato
temuhma
osanuma
tykapito
takutakurota
typipohzomo
tyyryhma
tynery
rohmanohpo
typynoh
enetoko
tyeimãkapo
tynomo
enehpoa
tonyhto
nomomya
enyokya
tutuarimapo
xixĩ
hnamo
tutuarima
tõsenetupuhpito
yxita
kãta
tõtãma
tõkeh
meropo
meanahtoato
oweniketyato
tyrikeh
neporehka
jyripoa
jyhtoa
oenekunopyato
tonuru
moturupoato
tonetupuhpito
tukuh
jãkyema
otuarõtanohpoato
ynanoturua
typitypipoh
tysasaka
tymyhpokapo
tukuhpito
tãtãnonoh
tõsemãka
tamorepapito
meropoa
tymotyẽka
apoia
tõsepehmapo
tometakãma
tonekunoh
mỹpokatato
ynanatakĩma
tonekeh
erekohma
tokureh
tõsekaropito
tytohtohma
myria
yjamihtanopya
ynanah
nutũta
eneko
tahka
tosenakũnuh
toehkeh
jenea
totakeh
motupipoa
tokãto
tãtasama
seneta
tõmikeh
kyjamihtanohpoato
tyriko
ynanenea
tomuka
tõsẽpatakãma
tyjamihtanohpo
tãpai
tuhka
osesenã
ototomo
tukurikakeh
takurotanohpo
nytoa
toepuka
toemyhpoka
jynykya
mexiato
tyarumãkapo
tyhnamo
manymyato
tokyi
sytatoh
tupipo
tuami
exiato
tukurãkapo
meneka
tõsẽtorima
mytoatoh
tõsekazuma
tymeneka
osenuruhka
wakorehmato
tukuma
tutuarõma
ynanenapya
ynanynykya
ẽpaka
mosenuruhkato
tukumanohpo
tomapo
tumũkeh
tonaroxitapã
tynyh
tahno
tãtahmãka
tamorepakeh
kukurikapoato
tozehkapo
mehtato
ekaroa
taomika
yporemãka
ynanukurãka
osesari
tykaripã
torẽna
totapuru
tonehpo
taosenehka
ynanexia
totazomo
tyxita
tykazomo
tyahka
otuhko
otootomo
nyhtoa
tuenikehkapo
tonetupuhkeh
ynanuahmykya
toehmo
typehka
tutũtanohpo
toekurãka
typipoh
tyrohmanohpo
tõtou
tãtakima
muka
ytoa
oturua
tytemuhma
mepatato
oepya
moehta
kuakorehmapo
typynanoh
tykakeh
nykohmamya
mutuarõtanopya
osũ
tõsenepo
tahta
tapopoh
meneato
tapoitapoi
tuhpa
toytoyto
akorekehka
tapiakapo
totaeh
typoma
ematona
pah
tysũsũma
tãtaporama
tupohto
tanỹpo
tõmita
tãtamorepakeh
tõserema
epekatya
tueka
mukurãkato
kyzahka
menetuputyato
neseka
mepekatya
tõpaka
enea
tosenakorõkorõma
tuo
tytah
anymya
japurua
tukurihpa
ynanytoa
motuhtato
tõtuh
tounoh
tymynyhpã
tytotytopohmapo
tõtuhkeh
myhxiropoato
kuerekohma
toytozomo
japoia
mukurãkapotato
topehma
tamorihka
tymyhpoka
tymyhpo
aẽsemã
tõmeh
mytyh
menehta
tysyryhma
tautuhmapo
tapoipo
tyniota
ãpiaka
tãtapiaka
towõ
tykohmã
mypehkato
toetokorihma
ehtoma
typorohka
wapõma
tykorokapo
tozuh
tõsenuruhka
mesehpata
typenekeh
tyhtoma
tỹkyrynehto
nosenepoa
taremã
soturutato
tonahkeh
enepoa
jenehpoa
taosanuma
ipynanoh
tõpuru
tõturupito
mepuhsasakatato
htoma
jorikya
tonukeh
poremamyĩ
toxietũto
tyjamihtanoh
tarykapo
emeika
typoenoh
tykararah
tõsẽpurihkapo
metato
mymyhpokatato
tomitapã
mapoiato
tãtakuoh
tyeipo
kypynanopyato
erokua
ynanymeroa
tanỹkeh
ynanotyria
tooeh
tonãkuta
oturutoko
manymyatoh
tyahkapo
rumekapo
tysahka
taomitanohpo
sexiato
menepitoatoh
jezukua
maropoa
tosehto
tysereserema
owõtato
tymerehtãtãma
upia
rypyhpyhto
ytoko
nexia
tõxinomo
tapurupo
ynanekaroa
kuakorehmato
tutũtanoh
tõxienonoh
tõtorima
taropokeh
toexiana
wenetupuhpoa
matoh
jenetuputya
tapuka
tamohmoh
tometome
tytyhka
tõma
typoh
taomiro
tõsetaehka
typaka
tyxihka
tõsereh
tahpahpo
otuhtoko
moturua
tyroh
poihtoa
tõnuh
tytohtohka
metapapoato
wenikehkapo
onyhtoko
tokahma
tytinerukeh
tõsẽkurika
meroa
ymeroa
tonepo
tyhtozomo
tõtãtãma
taomipohtoma
tõsẽtoritorima
tanyhtanohpo
urakana
tutuarõta
toepiaka
tahkapo
tõtyri
nexiah
tõxirohkeh
kukurika
tonehpokeh
tuhtãtãma
tuãtanoh
ynanẽmepya
tahnikapo
aroa
syryhma
jekuretya
enahkapo
toperyta
tõsenesene
towoka
noserepya
tutumeh
toetapyiri
toexixihmapo
nekurãka
kypyrypato
mekaroa
jenyokya
tãtohka
kararahpoĩ
ynanotyryhka
zoxima
tõtyhka
yporotya
tupuru
toexihka
ẽmapoa
oserepya
tarotaro
sukurematato
tykohtapito
ekaroko
toremia
tyerukumã
panata
tãtakenahto
tõtorimapo
makohpota
zetũtanỹpo
tãnonohpo
tuhkoh
exia
tõsesari
tyrowota
tyekĩtapã
topekah
noturua
tãtãtapoi
tonahkapo
toekurika
mytotato
typahpo
toeporehka
kueahmato
taropo
tyenonoh
pokotymyhpoka
typopa
tonẽ
tõpurihkakeh
typipohpo
tomatonanoh
tymynyhpãkapo
tomeseta
tomãka
tanyhta
jakĩta
kuenehpoa
tuapõka
tyah
tymynyhmapo
zuapõma
taoseremanohpo
tukurika
ynaneta
tytyorõmapo
toneh
oerekohma
oseneh
muruta
myriato
makorehmata
orikyĩ
mapoia
tomatoma
ẽpoa
tõsekazumakeh
mẽsemãkapotato
mamorepato
tutuarimakehpo
toxima
tysapararahma
ynomoa
tãtahnika
omynyhmapoato
tõseanahto
ykorokapoa
tymota
tutuarimanohpo
tonezomopo
tõsemah
katopõpyrymuruta
sosenetuputyato
tõturuzomopo
tyryhka
motukua
tõtonẽ
tytyorõma
toerama
tõsemeika
tõpurihkapo
otomo
tõtupoka
towoma
tytyorõta
notukua
jamorepa
tykerekerema
kutuarõtanopyato
toẽtaka
tamorepapo
typoremã
tuãnoh
tunuhnata
tymoi
onemya
tõxinomopo
tãtapuruhmaka
moepya
toepa
tomõ
tokamo
nerokua
tuhkapo
tymero
tõturukeh
tysahkapo
tyjamihta
tysekerema
mysasakatato
toepanaika
mekahmatato
tamixih
tyhxiropito
tahnika
tõsenuhmapito
autuhmapoa
tykohmapo
tasarah
tãtakirima
torẽ
tomãkapo
tãtãkyema
takuoh
tykohta
toerohpito
tymi
toetỹ
tõtuenika
tykoroka
tykohkohta
tuka
oxixikaria
touhka
tautuhma
toepanapuru
ipynoh
takoh
ykohmamya
ynanurumeka
tunõka
tãtarypo
osenetuputya
oeahmato
tupuima
urua
atymeneka
tutũma
tymyakãma
tamorihta
tyarumã
utuarimapoa
mõkomohtoa
takeh
kymeneka
yria
kuurupota
aropoa
tarĩna
tohpah
tõtumaka
typahpah
tamopo
mexixihmato
nonukua
tupoka
tounohkeh
oenea
toemũkua
memynyhmato
kuekaroato
typoihto
tokaro
tokaropo
tõsemãkakeh
etapazomo
tõsexiehto
toerohkeh
tãnonoh
ẽtoko
omeneka
namotoma
typoihtopito
ematonanoh
tynerymapo
tuenikeh
tonyoh
totatotakuro
akorehmako
ynanotukua
osẽpurihkapo
tamurupo
utuarõma
kyria
neryĩ
tytamunuhpo
metuarimato
taryka
tyryh
ynanerokua
tahpirã
tãtahpah
tonoh
tyhxiro
tytãhpopã
omipohtoma
toahma
ereme
marotato
omika
menyokyato
hmo
tunõma
tymakuoh
tomĩno
toperytapito
toytopito
tynahkeh
totypoh
pokynomoa
tytohka
tysorotohto
tõseneh
õnuhtoko
toexikihma
tupurohma
toehxiro
openetato
tõsekãto
noepya
tutuarõtanoh
turumeka
sãtã
tauhpa
typoroh
toepurotõtõma
tapuro
tymotatemuhma
toetywyka
ynanutũtanohpoa
toekuã
otuarõtanohpoa
jaropoa
totapapo
oenekunopya
ytoytoa
jurua
mekarotato
tykamexipo
wenetupuhtoko
ynanyporotya
mytoato
toanahto
toesyryhma
totyh
tõsezusezuh
tõtupohto
aomika
epory
tuhmokapo
tapuh
totapuruhmaka
osenetya
reah
tãtakuhmo
tõmapo
eseka
oxina
toto
zurua
nezukua
toenupuna
tupurohpurohma
senetato
tõmia
tupuxihka
tykerekeremapito
tõturupo
taotyhkanoh
tywyrywyryma
tosehpa
jekaroa
manakatopõ
tynyrih
waĩpotapih
anaorihmapoh
apoitopõ
ynymeroh
jatamorepatopõ
inymeropoh
poremãkatopõ
myxih
aerokuh
poetoh
janỹtopõ
ipoetoh
tõsenetupuhtopõ
jenetopõ
inaropoh
enetupuhtopõ
tynynomoh
nenyokyh
ẽsemãkapoh
etuarimatopõ
õsenetupuhtopõ
apuhtopõ
ynanamorepah
aosanumah
ynymenekah
tynerenano
ãtakimah
ynanamorepatopõ
ẽsemãkatopõ
onuhtopõ
aorikyh
kurãkatopõ
õturutopõ
inetapatah
imykyh
eramatopõ
isapararahmatopõ
exixihmahtozõ
