Urubu-Kaapor
uycuśhuśhayquicunä
limalcuyta
liyan
liptiqui
ćhasquiycücäta
waquillanta
salbaculcänanpä
anchicta
custumrinchiccunacta
yanapaycuyta
uycälinan
lanticücunäta
ishyayaptï
lulapäcunanpä
anjilcä
julamuśhanta
ayalcaptin
lanticulcul
wañuculcaptin
limapayćhü
llallïcunäman
cunsuylaycunanpä
tantialpul
unayquita
anchicwan
wañüpa
allullanchic
lisipäcuptin
caćhamänïman
unchicta
janäpa
malcacunapïta
pulanman
allpaćhü
jerusalenpïta
libraculcänanpä
caycuyninta
camachicuynincunacta
prinsipalnincunacta
aychanpï
anjilcunäpïta
paycunapïta
umallanta
sänaycachinqui
apïta
caśhayquita
wañülul
callpanchaycälinayquipä
willacücunapï
mañänincuna
diosninchicimaycama
wañupacuyaptin
amnü
uchuyllacta
chucarupïta
liprayücunacta
quiquinpï
puśhachinäpä
jamuyapäcuptin
ingañacuśhäta
trabajun
ninanü
lulachiptin
üwan
niyalcäśhuptiqui
anjilcunaman
nishanchicnü
jalutacamaptiqui
limayaptin
yacucta
müdanawan
juchallacta
piñachipäcunacpï
ñacayninćhü
masiquicunacta
lulaycälinä
lantamannü
limapaycäliptï
licachicunapä
jucllayquita
yataycuyllacta
allincäpï
lädupïta
imanipäcuptï
atichïcunäta
aman
lisïlälishanta
tanlicuna
lulaptin
pitwïlunqui
taytancunapä
limaptï
malcacunaćhü
tapul
nunäcunaman
wañülächiptin
uywaynincuna
ćhänacäśhacuna
jamachiyta
uyllurcunallaćhü
uycälinäpä
pishipacuyllanćhü
primiucta
juccunapï
mayanniquipï
lulapäcuśhanćhü
callpayquita
llaquicuycuna
niyalcaptiqui
wayuycälichishuśhayquita
munticunacta
ćhaquiqui
unman
licaycuśhanwan
puydïninta
aychanwan
nasyuncunapï
sänaycachipunanpä
lino
mayanćhü
lulälunman
intirućhü
aniscunapï
cawsayninćhü
puydïcunapä
walmicta
tincuśhanta
müdanayquicunapïta
lulananta
limaycunacta
barcucuna
caśhtancunä
acchinta
chacataläcunä
liträtunta
uycaman
taytachacunä
lluypï
llapanchicpacta
caśhanchicta
yaćhachipäcuśhäcunäta
musquichwan
siñaläśhacunä
paypä
limapaptï
puydïpïta
uyllurta
ashipäcuptin
malcacunäman
aysacuyaptin
awćhuptin
ućhcuman
claudia
pïlla
umricta
muyülïninćhü
uśhunayquita
isaiasćhü
aśhuśhallayquita
capuśhanpïta
cayalcächïman
israelcunäta
cawsayanchic
ćhasquïcä
yalaćhacamuptï
camachicuyćhü
pinsayniqui
mañacuśhanta
pälïcunacta
muspayniqui
uyaliyalcanqui
muyülïnincunapïta
uywaycunayquipä
camacayninta
muyuchinanpä
tacyaycümanña
imanacuśhäña
milayninta
ashiyalcämal
wićhalayaptï
caćhi
ninman
yaćhaycälinayquipä
lasaccunäta
jinapäcuptiqui
muspapacuyalcan
cutiycachishunayquipä
judeapï
aticaćhalä
jalutacuptï
faltacta
yaćhayninpï
jerusalenpï
yaćhaycachiy
ñawïpï
chalapacücunaćhü
cayanyaćhaśhanchicnü
wićhalayal
licun
fistachacayäpunqui
unulïsha
imanpä
mañacula
aticaćhaptï
yanapaycuyllacta
imaman
culucunacta
ashllaćhü
ñacachipäcuśhuptiqui
acuycunallapï
niyalcal
caynincuna
muyuyaptinchic
ćhïnipäcuśhuptiqui
cawsaycäliy
yapacul
ninchic
anyaycuśhuptiqui
ambisyacuycuna
cusichäcunäpa
casquishcunäpä
yaćhachicuycäta
pilyallacta
yaćhapäcuptiqui
pishipacüśhallanta
lantiyta
lucio
juccunapïta
aycapä
simänalla
palpapäcunayquipïta
imaniycamänallanchic
pïchun
alpamuśhanta
timpućhü
salomonpï
puydïtucüpïta
fistacunapï
israelcunäpïta
tumpapämaptin
willaśhaccä
ichalä
juana
cananpïta
llapanchicta
näsimuptin
amcunaćhü
mayanman
usuchishallanta
aśhuyächiptï
masiquicunanü
imanacücuyalcan
awćhuy
puśhamänanchicta
taytanchicta
duyñucuna
śhucuyllayquita
alawal
nunacunäpïta
micuptin
tulluncunacta
cadinacunawan
jucllayqui
millpüluptin
barcunta
cäninta
chaynälälimuptin
tumpäniquicunapä
lisinacuśhanchiccunäta
acunä
cänincunawan
pinsayta
jucmanyapäcunayquipä
jitaycuyäta
cuyacuycä
romaćhü
yacullacta
pallalcuptin
puirtancunacta
wićhalayaptin
caćhaycachishanta
niycunä
uycücä
israelcunäman
pedronü
puntallanwan
shiminpa
awquillunchiccunapï
yacullayquita
śhalcayächinqui
lasaccunä
cayaptï
aychanćhü
talipämäśhanta
chaymanña
niyalcaptin
cachacucuna
trifosacta
wicćhü
mandacülla
tamshälälimäla
amcunapä
muspaynï
alawapäcuśhayquita
imacunacta
cananchicta
milcapayquita
irmänuyqui
yaćhapacünincunapï
maquillanta
ayaptin
mañaculcäśhayquita
talpücunäpa
pishiptin
yanapaycälimänayquipä
lulananpä
latacuna
chalapacücunäta
mayanpa
dilantaycayämaptinchic
mayman
pataccäpïta
aclaycuśhanpï
mariacta
ächallayqui
müdanayqui
israelcunäpä
niptï
duyñunta
pinsayalcanqui
tutapa
willaculcäśhäpa
apanacuycunäta
sosipater
mayanmannü
cretapï
śhalcuyalcaptin
aticaćhäniquicunapä
yaćhachinäpä
ninaman
wïninta
cuyanaculcänayquipä
piwan
waytan
malcanchicpï
filtapämunayquipä
ñacaśhanpï
cacuyanquiman
müdaycachinchic
ninquiman
atücunäpä
uyaliylla
pirfümicunacta
bululunyaycuna
nunapä
muyuncunallapïta
śhalcamunancäwan
nisidällanta
llapanpä
quićhacachishanta
salbacüninchic
aśhuycücunäta
caśhtacunäpä
aclacuśhancunäta
caculcanqui
uyllurcäta
cuyamäśhanchicta
jamapacücunacta
mayanllayquita
puirtacta
ayïcänü
imanacülun
artinpï
ismuy
lluyman
nunätanü
cäsucücunänü
wañuchiycunapï
salomë
tamshämachwan
capäcuśhäta
alawäta
lïcunä
walmicunäta
śhalcamuycä
wañuchiyta
quiluncunacta
uywacunacta
lupayänü
juniasta
ishyayninpï
apiapä
ćhämücäta
chalapacuyninćhü
caśhäpïta
śhayämüta
tapunacuycunapïta
śhamuptin
ingañaycaćhayal
licaśhacunäta
japächaptin
canancama
isaias
wićhaläśhäpïta
isquirbishaćhü
umanćhü
tantialpunchic
imaylä
ishpicuyalcan
milagrucunacta
caminaycünincunä
aycacta
chalapacüman
loidapï
nanachinacälälil
julucul
pasinsiaynïta
niptiqui
piñacücä
linlincunacta
cacullañä
aticaćhaśhüniquicunacta
cawsaycälishanta
talpuyalcaptin
anchunman
allaycuyninta
marcosta
licaycücä
camananpä
juanpï
caycuycä
nipäcuśhuptiqui
jinapäcuśhuptiqui
juccunäta
casaracul
sirbichicuśhancunacta
palaśhuptiqui
siñalachicuycä
munayniyütucücunä
munayniyücunä
nipäcuśhannü
munaśhäta
insinsiucunacta
yaycunanpä
mancaman
nishayquita
caćhamäśhanta
lulapunanpä
uyalinayquipä
cällin
nishäta
lumilla
lanticuyta
masinta
yanapayalcäśhanta
yanapämäśhanta
wacchacunacta
quiquiquicunapï
liptinchic
atimänïcuna
cäsuculcäśhayquita
pinsaśhanchicta
pasaycaćhapäcunallanta
śhayämü
lläwayaptinchicña
lluypä
tantiaycunacta
limayninta
anjilcunanü
tantiaycälinayquipä
lisimäśhancunäpï
päśhawan
puñuyaptin
nishäcunäpïta
lisinacuśhayquicuna
ishcayninćhü
luläśhuptiqui
cambiälunqui
yaćhayaptin
licapämaptin
ayachiptin
gastaptiqui
talpuycuna
onesimo
imacunapï
tacyalpachïcä
caldayninta
chutay
caśhäta
puñuyalcaptin
juccunäpacta
cäsucuśhayquita
cesareaćhü
cuartu
paćhyamuptin
chalapacuśhanta
jamuyalcäśhuśhayquita
cullupï
aylluyqui
sänaśhanta
caśhtapïta
imaniycunallan
uycunanpä
ürulla
siñalllacta
jalutacuyalcaptin
nilcul
cawsacula
imanapäcuśhunquiman
aplanü
talcamuptin
bereaćhü
armä
pablocta
shimïta
yaycula
upyanapä
yaluycuśhanta
lishanta
umricuna
licaycuyaptinchic
taycaycachinquiman
liwshinanta
apälälishanta
micuyan
alawaycälinanta
aptiptin
yaćhaśhayquita
cushicuyniquita
alpunancäćhü
lisinacuśhanchiccunä
linayquipä
nasyuncunapïta
irmänuncunacta
jesuswan
lulayninta
ñacachipäcuptin
imawan
nishuśhayquita
chacwaśh
cuyaśhäta
anas
puydïninman
waćhishannü
wañuchipäcuśhunayquipä
wancacunäman
pishipacuycunaćhü
ächancuna
uycunapä
elisabet
camalaycachiptin
läsacunaćhü
niycälimänayqui
gayo
mïnuschacul
lulapäcuśhanta
puntanćhü
cawsananchicta
malcanchicman
talishayquita
aśhuchishayquita
imäta
cäsucuyal
juchachaycälinan
chacwaśhyayaptin
imanpïta
uycuśhüniqui
suwacücunä
imallawan
wawinta
wasinchicta
imanaycuśhalla
pasalcämaptin
nanaynincunacta
allpapï
rabyacuyninta
cayalcaptiqui
culibraynü
talishancunawan
yataycullal
quïnapa
walaśhchacuna
dïbiyämaptiqui
yaćhachishuśhayquita
persidacta
uycul
juluycunallanpä
trïgucta
cawsayman
talpucuyniquita
lädućhü
walminta
maquincunapïta
munayalcanqui
tuncurincuna
ulacuna
imanänan
garutin
cawsaycunapä
chalaycachiyta
yaćhapäcuśhayquinü
limacuyniqui
uśhancunäta
chillquimücänü
anchictanü
ćhulaycuptiqui
imaniculcäśhanta
acunalläpä
taytacuna
callpanchacula
micucuycuy
wiñananpä
sirbichiculcäśhuptiqui
unäpä
alcaśhanta
atïniquicunacta
masincunapïta
almancunacta
maypa
cutimunäta
lulaśhuptiqui
papilta
micapäcunallanpä
nipäcuptin
librućhü
wañuśhacunäman
nunacunacta
imaypï
amcunanü
mamanta
mayanniquipä
ulapï
wañuycäta
intïta
yaćhayalcal
allaycula
ninanta
willaptin
niyämanchic
lulaycuśhayquita
allpacta
uyalipäcuśhayquinü
cäsucuyta
imalläta
pasquiycunalläpä
juchancunacta
salbaycamälanchic
alawacuyta
taytachancunacta
israelpä
salbaśhuśhayquita
tacyaycälichishunayquipä
chulincunacta
ćhasquiycälinayquipä
jonaspï
yaćhayalcaptiqui
enocta
cäniyüta
nunaćhü
wasinta
yaśhancunä
alaläśha
imanacul
wañüśhacunacta
salbaculcänayquipä
yaćhapaycälimänan
ñacaycuśhanta
mandacücunapä
licayalcämaptin
limacuynin
lluywan
tantiaynincunacta
wañuycäpï
willacuyninta
cayninta
tantiaśhanta
alcayalcäśhayquita
limayllacta
awantaśhayqui
malcancunapïta
ulläcunacta
achipämaptin
wañupacuśhayqui
chacatal
chutayta
uycuśhanchiccäta
cawsayniquita
jinapäcuptin
safira
aplacunacta
wayuyninta
pulayqui
pasananpä
babul
śhullcancunanü
