Terena
yundoxoâ
puvoné
exókovi
inuxópinovi
namukóponoa
itukópoinoa
opóno
ovóheovo
enjoâ
óxovi
evi
ipovó
haxakínoa
ihoréke
ramanóne
koyonoâ
kixekóko
kayakákoa
epemínovi
xê
porexópea
kehoé
uxínovo
koseánavi
iyonókono
ayuí
nikoâ
épemokena
úxoa
noixeôvoke
pikô
irihíkovo
kurê
itokóno
kouhéko
katarákopa
ovitikoa
ngoyeâ
kutea
kotirínane
puinoâ
haxakéxo
oneôva
ikútipasikovovi
koyeôkoko
kayakákinoa
ivavákonu
ipoâ
ipokóvo
keusókinoa
mbihíno
oposíkoponoa
ahukoâ
exoku
aînokoko
koyuhóvo
íkorokena
ikonu
oveâ
ipihóponope
konokínovopi
nikô
kalîhu
turixeôvo
vukopóno
kenô
kehokeâ
kopúhikoa
jesuskoa
komomíkoa
epemópi
njeruzálemukeâ
vivokóponovo
kuvovâ
kitipónu
ipíhinoa
porexópinoa
hariríxo
indukeâ
ipuhíkopo
akaú
ahíkovo
koepékexokoko
oposíkopoinoa
noivókoxopovo
ihaxíkonu
ihíkexoa
ihíkaxoa
ítukena
itukóponoa
ivekóvo
ipukoâ
kapáxovo
kixeóvovo
puvónu
ikokú
ihaíko
onóvo
isímonu
varereô
yutoé
pataraûxa
ihuínova
okopónu
ipíhea
ndû
exókovea
haxakínopi
anahíxovo
úkopa
pahukónu
yoméxo
vovóheixo
imeâ
akoa
unakópa
irikóvo
inixópovo
ngopúhikinopea
hipokoâ
kameâ
kotixoâ
namukeâ
koyuhópa
epemópinovo
ungeâ
ínepoa
kotohínea
evesékinonu
epékonu
isukópono
iteóva
koépekena
pihinoâ
éxapi
kuxoâ
veinoâ
yutoxóva
kelemén
íkoa
ipihéponoa
hóko
yahikúxopivoa
váherexokena
ómevo
ekoa
koyonónu
kuré
ínenu
kousókoa
vaheréxinonu
ekóvo
koehâ
ahúko
iyupáxova
imaíkinovokoko
vanexópono
haîna
omopâ
veyopónoa
epemoâ
kohóne
akené
koyuhópinoa
iyókova
porexónoa
evesékea
vítukekoa
ovokú
anáne
omoné
ominoâ
urúkovo
