Apurinã 
nixipokapek
makatxakapitik
onĩkat
akamapitik
onirekaik
nixikot
apakapakarihimarot
inokaãpot
ninirekapitikam
hĩkĩpitapek
nipĩk
hinirekat
pitakak
itxim
maãkirit
imaxinĩkaãpot
õtanomin
matxineirotenimonik
inat
pimarotapek
hãpakapat
anikapek
sikapoxokonit
õtanoxirat
auikat
imimitek
kĩpitapek
meraminapo
iapinok
akenakoenetapek
hĩotokak
itiretapitik
auãkat
aãtamatapanik
itotaik
iĩkitxitapek
maãuirit
oiopotokak
anekak
hĩtakaõtxik
xinikak
amisãkiretapik
iminap
hĩkamapitik
atxĩkitak
kamatsiit
nipokotak
motĩkauakotak
nikamapik
apaãnãt
isauak
pivẽtxit
posotaik
auikapek
natamatapek
karokirau
himarotapitik
anikaãpot
makananitapek
mokaiak
namonipar
imapixinik
ikakiriok
txiarokak
ixãpokak
iõkapetak
aõkitak
auiritaik
ipinit
mĩkapiritak
apiataparatak
kaikotak
kamiriãk
apakapapek
hĩkoxirikat
aãtatsiit
nikamapitik
hĩxãpokak
omisãkiret
kamatxikot
oõuik
imarotapitik
tiretapitik
hiĩtxik
hãtamatapanik
nimĩteenek
ketot
kamatinanipitik
paxir
posẽtak
hiamot
ikenakopiret
aiotokak
ininipeerek
ipẽtat
nitot
kamapẽtatak
minapiret
himarotatapanik
pisikakienat
oãrok
õkat
okitak
matatak
imatonõk
maĩkauakot
sikaposotiireãpot
himixirik
oerekatapek
mereẽpek
hĩkamapanik
minapak
xesosimonik
sikaxiniret
amanarauatak
hĩkaroxiniret
xinikapanik
auikaik
potxitak
inikoriãtsiit
koporikaãt
ikitak
mapitxiritak
aãuikapitik
iomaãtat
nikamat
pimĩkapiritat
xãpokakapek
paõkitat
paorohinirekat
kasãkireik
itakanapapanik
imaãtak
hĩkamapẽtat
aãtamataik
pitsotak
kasar
katamẽkak
hĩkoxirik
pikemaĩtxit
hãuikat
piposotat
auikak
kaiamapek
imarotat
poxir
ninitanãt
ikiraãr
ikamapitik
itoãpot
sãpiretat
õtãkiãk
omaãtak
pĩkapiret
misãkirepiretapik
hĩxinikapanik
potoriãk
nimaxinĩkaret
mapotõkireniokanat
natatsopat
himoianatapek
