Macushi
ukonekaiyaꞌnî
tîntîrukaꞌpî
eesekaꞌnunka
patakayaꞌnî
asisi
yawîron
tekaton
panamayaꞌnî
ponaꞌnî
usaꞌnamatîpon
tînuwa
tenpata
konekasaꞌyaꞌnî
anapisîꞌpî
aweꞌkupîꞌpî
uyannoꞌpîiyaꞌnî
tenîꞌsen
tîtamo
ukuꞌtoꞌyaꞌnî
wenairon
amoꞌkasaiꞌyaꞌnî
epetakoi
tîwenaiꞌnî
apanamauyaꞌnî
ayeme
yuwayaꞌnî
ayaipontîꞌpîuyaꞌnî
uyaipontî
unta
pîꞌapîꞌnî
tînta
uyarakkîrîꞌnî
amenkaꞌpî
awanmîraꞌnî
eeperepîtî
atînirurî
eraꞌmaton
umaꞌnîpanen
kuꞌsaꞌyaꞌnî
aweꞌrepatoꞌ
yeparan
akupîton
eraꞌmapaiꞌnî
aawarîrîꞌnî
aapiaꞌnî
wanîtamîꞌnawîron
tesatî
enesaꞌyaꞌnî
tînapisîꞌpî
tînepuꞌtî
eepereꞌtoꞌ
yenkuꞌtîton
uyannosaꞌyaꞌnî
saꞌnamapaiꞌnî
tîweꞌsaꞌ
tîkaisarîꞌnî
rumakasaꞌyaꞌnî
ayapisîiyaꞌnî
keuyonpa
prata
taauyepotorî
yaꞌsiꞌsaꞌyaꞌnî
jesusyauꞌnînmayaꞌnî
tenupatoꞌ
imariwaꞌkaꞌpan
konekaꞌtîpon
itenpata
asaꞌnamaꞌpî
tîîsaꞌyaꞌnî
tarumaꞌtîtîpon
unmoꞌkaꞌpî
tîꞌsaꞌsaꞌ
eseuwarapon
enîꞌpaiꞌnî
uyemanne
erekîꞌpan
awoꞌpatîpon
temanne
ankonekaꞌpî
tînu
epotoꞌpeꞌnî
apiꞌpî
eeseꞌma
ikuꞌsaꞌnî
aweꞌsaꞌnamatoꞌ
atausinpanpaiꞌnî
uyapisîiyaꞌnî
aakoreꞌtaꞌnî
tîmoron
eesekaremekî
yuukuyaꞌnî
meruntîtannîpîyaꞌnî
ituꞌsan
epuꞌtîꞌnî
ekaremekîarinî
uyeserurîꞌpî
kamisarî
yenseꞌ
uuwanmîraꞌnî
amanenpanen
enîrîyaꞌnî
aweꞌsaꞌ
tîwanîꞌpî
ayarî
aaseꞌnî
waraino
aneꞌma
pîikaꞌtîsaꞌyaꞌnî
koꞌmantoꞌ
eenaꞌpî
aweꞌtîꞌka
uyeyaton
taatoꞌyaꞌnî
uyakoꞌmenkanen
kawon
tîwentamoꞌkatoꞌ
awoꞌpa
yarimaꞌpîyaꞌnî
eesenumenkatoꞌ
eraꞌmatîpon
uyenupatoꞌ
neꞌneꞌ
akaisarîꞌnî
yarîton
eekoreꞌmatoꞌ
tuutîtoꞌ
teyaton
akoreꞌtawon
eemoꞌkasaꞌ
karaꞌ
tîpaꞌse
aakoꞌmamîton
newanmîrî
eesepuꞌtî
taapîtîyaꞌnî
ereꞌkîpan
yeꞌmayaꞌnî
yaꞌtîtîpon
uwinîkîꞌnî
teurîma
uyausinpaton
tiwinsaron
tîîsaꞌmantaton
uweiyu
tapairon
uyentaino
koꞌmannîꞌnî
teerîꞌkaꞌtoꞌ
ayewanmîrîꞌnen
anekaꞌma
teenasaꞌ
tewîꞌ
ayenupatouꞌyaꞌnî
yewaꞌtîtoꞌ
yanumîꞌpîyaꞌnî
ayeꞌmaiꞌnorî
koꞌmannîpaiꞌnî
ukupîyaꞌnî
koꞌmannîꞌnenan
tansenon
tîmenkaꞌsan
tîweiyu
teesepantoꞌ
patapon
teesewankonoꞌmasaꞌ
epuꞌtoꞌpeꞌnî
tîweꞌsanon
teeseurîmatoꞌ
tarumaꞌtîpon
yuꞌnaꞌtîtîpon
tîwuku
upîikaꞌtîꞌpî
taasaꞌyaꞌnî
aawoꞌmaꞌta
ayeseꞌ
tîweꞌtarumaꞌtîtoꞌ
tîkarau
amaꞌreꞌnî
yee
ayun
kupîyaꞌnî
pînonuya
apanta
aapiawon
ukaisarîꞌnî
erenkasaꞌyaꞌnî
ayoꞌ
tekî
tîweiyuꞌmatoꞌ
sîrîrîtiaron
ikupîyaꞌnî
annapî
yapiꞌtoꞌpeꞌnî
itemanne
awanîꞌpî
ayenupatoꞌpeuyaꞌnî
yawîronkontiaron
unenapî
kupîꞌpîyaꞌnî
nínivepon
teerepansaꞌ
pepînonamîrîꞌnî
tenkuꞌtîiyaꞌnî
uyeꞌseꞌ
ipîikaꞌtîyaꞌnî
utarumaꞌtîtoꞌ
ayeurîmaꞌpîuyaꞌnî
ayaipontîꞌpî
tîîkoꞌmantoꞌ
amaimu
tînepoppîtî
apoꞌyen
akanaimîꞌtî
annîmîkî
wîîtîpon
ayenupasaꞌ
imakuiꞌpî
aweꞌpîikaꞌtîtoꞌ
tînmenka
winîpaitîmaimu
uyeraꞌmaꞌtîpon
aatarumaꞌtî
ipanta
eꞌnîtoꞌpeꞌnî
tîꞌnokoꞌmatoꞌ
ikonekapîꞌsaꞌ
ayakaꞌma
temekon
