Kayabí
esageteer
enekaruar
ymãwarer
ojekatuꞌokaw
katuaw
resageter
tejaꞌyr
esaukaaweꞌem
ajaiw
resager
orojemiꞌuram
imuorypaw
rureꞌem
momopoaw
orojeaꞌar
fariseur
jeporenuwiwer
otewer
sawaꞌer
amoir
judeur
pejeparuapower
napaulor
uꞌaeꞌem
janekatuꞌokar
nuwareter
eneremifaj
wopejeraw
enupar
renuparareter
jareymaneꞌem
jesag
iapeꞌog
ifutar
kusar
makuꞌiuaꞌer
janeresagesager
esagear
oropotaꞌwar
paulor
orojekatuꞌokaw
isakir
weaꞌaaw
wajaiw
ejesager
aruojereꞌem
waywayr
iporomateepawiwer
wapyakwafug
jepytun
ꞌjar
wyg
rayr
pypewar
jarepojejukar
eneruwareter
iꞌupyr
ojeꞌẽwuꞌjag
kaꞌjam
neapyoꞌir
oporomuriwereꞌem
tekower
imanũuꞌjaweꞌem
perg
pejekaruar
akuꞌafaaw
opotaꞌwar
afutaar
oywyrafen
jeresager
kũjãmukur
kutug
remiayuwer
wepyeꞌem
uꞌarasigeteter
etywereꞌem
jarekaruareꞌem
wowyayr
teagoꞌor
nemirekor
oporomotyweriwer
pejejeateeꞌem
imoiaw
etywereter
pejeporogytawer
oropifuakareꞌem
oꞌwyriar
janetywer
motaꞌwar
rerowiaareꞌem
opytun
opoar
tejesaw
jarejemuesageaw
mokãꞌẽn
werowiaar
ikwaapareꞌem
pejepokag
jareporomutar
janefuakar
osom
tefereꞌem
makuꞌiaw
jarejamuꞌjar
tywetꞌaw
oporomeꞌegiwereꞌem
oypytunaiwuur
opojyayr
resaukaaweꞌem
tekuꞌir
tejaꞌyrareter
iamoir
iapypyr
momoiaw
pejemuer
jejeꞌeg
muaw
ijesaukar
ijeawopytymoꞌwog
teporomonowereꞌem
rerekokatur
ajuekokatur
ejaꞌyr
opiragayayr
waꞌjykãj
momoranupaw
omair
janeporomutar
rerowiaraipar
aranuweꞌem
wemiꞌuraꞌmĩn
jepoiriwer
ojemogypyyg
epyꞌaꞌwyreꞌem
eroopyretꞌaw
pejeporomonowereꞌem
tejemuaẽmeteer
erowiareꞌem
renyfug
pejejeapyor
orojeapyoaꞌneꞌem
oporesagiwer
wemikatuꞌoger
weaeꞌem
apykaw
momigukaaweꞌem
rerekoemãaw
remianuw
janeremiꞌuram
neaꞌer
teporomonower
tejejukaaw
pejejeaꞌgueꞌem
mepyaw
okatuꞌogeꞌem
kurapar
ejenuweꞌem
iapouꞌjaweꞌem
imojoꞌogipyr
erekor
teporopoariwer
jereaꞌar
orotyweꞌem
esageꞌaw
omafuꞌam
tefuewereꞌem
mepyawamaꞌer
upeꞌaw
wemyrer
ijeꞌegaiweꞌem
emomeꞌwar
pejekuraw
esager
pẽneateeaꞌneꞌem
fuakar
ejeaꞌareꞌem
pejejekowereꞌem
wesager
pẽporomutaaw
remimurer
apyraapar
jewyr
omuorypaw
eroopyr
momeꞌwaw
pejeymaneꞌem
orojeapyor
pejefuakapaw
teporokatuꞌogiwer
wuageꞌem
oꞌmeꞌem
pẽnemiesag
wenyfuꞌgir
momeꞌur
jarejeapyoaꞌneꞌem
tupaaꞌmywareter
mateur
kwaj
ajepej
resaukaaw
imateepaweꞌem
tejemiꞌwariwer
reruaw
jejekotyꞌaawareter
oporerekowereꞌem
ojesaukaaw
nesakaw
tejerowiaryaur
oirũn
eporiaeꞌem
ikwasiꞌoeꞌem
jekaruar
katuꞌokaw
orojemomeꞌwaw
janeypyr
jaꞌwyjaꞌwyuur
pejejakateꞌemeꞌem
ojukyryayr
agoꞌoaw
pejejuapyraapar
remimuꞌefer
janereapyor
teꞌmeꞌem
remipyter
mepyeꞌem
oꞌmer
ifuewer
opoaaw
ojerowiarukaaw
moiaw
janetywereter
pejejomojoꞌokaw
tejerowiarukaaw
oreꞌmer
jareagairaneꞌem
momeꞌuuꞌjaw
pejeꞌarasigeꞌem
warumamaꞌwisig
pekyjeꞌem
jarejorypaweꞌem
opyꞌaꞌwyreꞌem
oyman
teer
wewirer
akuꞌieꞌem
reaꞌar
tekaruar
jarekuꞌieꞌem
wyneegatugatur
mogytar
pejejeporesag
tepyꞌaꞌwyreꞌem
okwaaw
oropoiaw
oporopyygiwer
jeporomukur
ajuemianuw
teepaweꞌem
janepoiriwer
mojekotyꞌaaw
wesageayr
ruruꞌjaw
uꞌaꞌir
pejejuageꞌem
jeporomomeꞌuwer
pejemaraꞌneꞌem
ekoeter
pejejuagoꞌor
okaꞌaranũũꞌĩn
werowiaraipar
janeꞌwyriar
maraꞌner
erawar
akuekuew
janewujar
amowapirukareꞌem
poronuw
taꞌyriar
jeparuerowiariwer
mũꞌjãw
ypyfer
teparuapowereꞌem
rewirer
tyweꞌem
pepoireꞌem
iapouꞌjauꞌjaw
ateepaw
otywuꞌjaweꞌem
weapyower
aejeꞌeg
werekoemãn
oporomoryꞌwewer
afuewereteter
moporowykyaw
afuakapaw
yrũn
wapesakar
pejeporomutareꞌem
rapesakareꞌem
opãjẽretereter
janekuꞌieter
ojewageꞌem
aruꞌarasig
arafuakapaw
wagoꞌor
tejemirekofer
rerowiaareter
tyweawetaꞌer
ꞌewer
nenũꞌẽaw
wekõẽãimaweꞌem
maꞌjar
janerewirer
jarejuewirer
jarepyꞌaꞌwyr
aꞌwyreꞌem
pejamuꞌjar
aeruw
pẽꞌwyriar
imoꞌwyꞌwyr
moromuꞌjar
oporiayꞌir
nerekwar
atar
otaꞌwar
jemujariꞌaw
remipyyrũmer
mateepawukaaw
pejeparuenuwiwer
wayeter
kũjãn
ateepawaꞌneꞌem
iapoar
rekoeꞌem
kwaawukaaw
amaraꞌner
aepoiriwer
pejepojoꞌog
poirũn
nupaw
tejeapyoeꞌem
ayayr
oꞌywuur
wypyꞌawyg
pãjẽreter
ojejukaweꞌem
motywerukaaw
tykuareꞌem
mojenosĩaw
ojaꞌwyjaꞌwyr
ꞌarasig
apisar
pejemunarũaw
maꞌeꞌaw
ꞌam
najudeur
potyr
poaar
mogyar
mogytaar
muesageaw
tepotaꞌwar
iꞌer
opojoꞌog
jemouag
pẽporomutar
oporowykyaw
arakuꞌir
aramuer
renuwukaaw
ejaykapaweꞌem
nemitykur
oporomoteꞌariwer
pejejeaꞌareꞌem
muꞌakwaapawetaꞌer
jeꞌmer
okyꞌar
poromoryteewer
jepyꞌaraypar
nẽnũꞌjãaw
jemaraꞌner
renuwaipar
aꞌagaw
oroporesag
muꞌakwaapaw
janeruw
jeporopoariwer
otyweꞌeꞌmir
wenuweꞌem
ikyꞌauur
jaremair
near
nenũꞌjãaw
waiw
pejemamaꞌeꞌir
kuꞌem
pejejemuorypaw
oporomutar
tatar
kuꞌieꞌem
pẽꞌwyriarareter
