Paumarí
avarikonahamisi
bianarafia
nagathogathojora
binanokiahi
ikorijanaha
omara
okananahinara
okajirihi
avanofijahakira
nofira
avagathanijahaki
kanihima
vakaabinihi
dioni
avarakanaathidanoararikhama
aogajahakira
avavikhajakosi
varagari
danira
kanamoni
avakaijokajahaki
avakabadanira
aavikha
avanaabajahaki
vikhori
avanahokahi
okanamasivi
afini
vavajahara
imarinira
avakakaimajahakhama
aragarira
avarakaihamahira
karamona
aakodiakhama
bivajahara
oogahahavi
avanihima
isohihijora
ihonariafiaha
avihijanara
aradami
avakapoarijahaki
akavahojai
akaabani
ianagathogathonioni
ogajariha
anakaramisi
nihimajoraki
bikarakhai
avakaraganaha
vanaihamahikaraho
avaamina
vanaoninana
vakananapajahikhama
vajahajanara
binahonariahihira
vakarahoka
avanaathi
inajaha
avavajaha
inakamithahi
isokonijanara
anabadanira
binapohimaja
onanokiahibakhia
vagathanijahakira
bikaihamahi
anahoariha
varavina
obananionani
vakanavaranihabakhia
avanofikaraho
anikhaha
honariara
okaibavijahahi
bidafia
onikha
avakavarajomi
avidioni
akabai
akaijahita
avakakodia
ikavahoja
nabavi
akaikahi
avaiba
avajoroni
raiarakha
vavajahari
inajiri
avaragaamanani
avakapavakariha
ikaabani
obaranaha
anarafiara
iri
vavaipohihabakhia
avavaboraboraha
kamisai
onaihamahi
vakanabiinimanani
binaadaribakhia
iakahojahi
okanikhariara
okavagahinai
raonaabosi
vanajoi
avanokha
kanarihai
avahonariahi
vakavaihinikabakhia
ibodivaranikamari
vaagathanikhamajahaki
vakosama
vikhaja
nabadani
vanakabodi
kakodiajahaki
avanikhaha
dihanana
avanofijahakihahavi
avahoaribakhia
deuabikahi
navanavanaha
oakanaipohi
ofinira
arakhama
avarakakosi
okadasa
avakaijokabiinini
ibodivaranijahaki
nahokahi
binadomidomi
bikaronara
vagathira
avavasoko
kanapitakhama
anaabara
oavaadahaoni
birahahavi
ovanofiahi
agathanijahakira
iakakojaonani
ikanavaraniha
akapavakari
avanamonaha
nabaro
binoba
dira
avifini
avanaabini
avarakaitapia
najahariharira
avavahonariahi
akanaathidanoararikhama
iakodia
