Maxakalí
kopaht
pott
xupxett
ãktuxt
puxett
ũxeheht
axt
hay
putoxhãmy
hãmaã
nũyhãpk
hãmk
hãmgãynãg
putux
ũgpuxeh
ũhax
hãmgãyãyg
õh
koxũg
pixhãmhũm
hax
hãpxahĩg
hãmgãyãg
topah
mãga
yĩkah
yãg
kohãg
ãmãxãg
panip
kumak
hãmmãy
ũmĩy
mĩmpeh
hãmhũm
tũm
yĩkãg
kutog
kõmẽn
ãyĩkãg
katãm
xohih
putõy
ãhĩy
kumãg
hãmkox
putũy
xohĩy
puxeh
tuknõg
kutãg
yãynõy
kutõg
mĩptut
kutĩg
eg
ponnoh
hãmhõg
hãmhum
kũy
xĩm
õg
pãm
pet
ĩgãh
nak
yãyĩgãh
kakih
ĩgã
xaxogã
tog
xeh
tõy
mũtik
hãy
hõg
hãptũm
yomẽn
mãtik
nax
og
tũnẽm
kakix
tãm
ũgyĩkãg
ãpet
hũm
mãyõn
ãpẽnã
nõy
mĩptop
tõg
kakĩy
kummuh
yãykutõg
hãpkũyãg
tĩg
tũy
hãmãyãg
ũgmãy
yohmẽn
kumãyõy
ãmux
yãpxeh
ũyĩkãg
ãxĩy
yoã
putũm
yãnãm
puxety
kĩyy
teknõgy
nũny
kutõgnãgy
xohixy
mũgy
kupy
ũkuxy
kopahy
ũmhãy
mĩyy
kutoky
poky
tupy
yakeoy
mõnãyxopy
yũmy
xopy
ũgyũm
hokyũ
kopahyũ
yũma
ãneoyũ
putoxhãmyũm
ãktuxyũ
yu
ũyũm
xatek
hayũm
epaponityũ
ũyũ
ãyũ
hayũ
mõhã
putoxhãmyũ
ũgyũ
maxt
tatt
xopt
yĩmõgãtuxt
ãktuxt
okt
xext
ãneot
tupt
ug
kummukg
hãmmaxn
yõkãnãm
yĩxõnn
yĩyxohõnn
kummug
yãykotĩnn
nuhukg
hupm
hãxopm
xupepm
hipm
mõkutn
tupm
ãnũnn
kupexy
ũyũmmũg
hãmyũmmũg
xũyg
tihig
ãyummũg
ãmõg
hẽn
nĩmm
ãyũmmũg
ãmig
ũpug
hãpxupm
popm
yĩpkutug
hãmpen
ãhittupm
xupakg
kixg
tom
hog
kuyõnn
xitn
xakg
ãkutn
mõkn
ãxexkan
yĩg
