Apalaí,Apinayé,Apurinã,Bakairi,Guajajara,Guarani,Kadiwéu,Kagwahiva,Kaigáng,Kaiwá,Karajá,Kayabí,kayapó,Macushi,Maxakalí,Mundurukú,Nadëb,Nambikuára,Parecis,Paumarí,Português,Rikbaktsa,Sateré-Mawé,Terena,Tukano,Urubu-Kaapor,Xavánte
se,mex,iuasaaki,mâkâ,rupi,vaꞌekue,"aneotedoɡ̶oji,",ve,tĩ,íxupe.,hãbu,amũ,'ã,"ya,",hu:,"pima,",tii,nxe³­yãn¹­ta¹­,tyaonitere,vani,por,kino,wo,êno,mɨsâre,tayta,dama
imehnõ,nhĩpê,apaka,idânârâ,amo,aipoeꞌi,"meetediogi,",pyri,vĩ,vaꞌekwe,jiarỹ,jarejuwarete,bẽnjadjwỳr,pata,hãm'ãktu,pe,gó,in³­txa­,xala,kaimoni.,na,soho,miitꞌin,itúkeovo,werê,jesusta,"wamhã,"
"xine,",to,iuaã,awyly,aꞌe.,ikuai,niɡ̶ida,nahã,vỹ,voi,aõkõ,nũ.,aje,ton,yĩy,ixe,doo,a²­yxo²­ha³­kxa­,xoaha,kania,em,o,piat,ako,ɨ̃sâ,mas,"za'ra,"
morara,hwỳr,itxa.,jesus.,no.,ae,aɡ̶ica,rupi,ti.,ae,wesemy,oree.,õ,toꞌya.,"puu,",ka,doo.,jã¹­nxe³­jut3su²­,hiyeta,vahoariha,uma,aty,hamo,kene,ãpêrã,ishcay,"hã,"
morarame,kamã,atão,kuru,uzeꞌeg,nunga,iiɡ̶e,nehẽ,nĩ,ne,sõwemy,ki,'ỳr,wanîꞌpî,nõm,kay.,hꞌ,te²­a²­,xoana,jesua,”,mytsaty,mekewat,kuteâti,pe'e,llapa,"wa,"
"a,",hkôt,xesosi:,aguely,wi,oiko,leeditibige,kiroki,tá,rei,aõbo,nanẽ,mỳjja,pemonkonyamîꞌ,hã',eyju,dooh,ĩ³­yau¹­ũ³­jau³­su²­,nehena:,makhira,está,niwatihi,iꞌewyte,koêku,yã'âro,pachäćhu,"da,"
exĩko,wa,auĩtetxi,lâpylâ,"wà,",ꞌrã.,icoa,kiro,"nĩ,",rehegwa,iwese,awau,kadjy,pe.,kummu,tak,"bä,",a²­sa³­wi³­ha³­lxa­,tyotya,athi,como,tuk,wẽtup,po'ínuhiko,masá,dios,da.
ynororo,kãm:,txineiro,kurâ,awa,voi,anodiotibece,hete,mỹ:,joty,aõ,ene,kêt,maimu,hok,ikẽrẽ,däk,ta̱³­nxa­,akereta,ibavi,dos,yhỹ,poꞌo,xapa,weé,nï,tah
awahtao,jarẽnh,inakari,uguondo,izupe,heta,liciagi,me,inh,pende,iu,ipe,bôx,pîꞌ.,"hok,",eju,jé,te²­yã¹­nxe³­sxã­,ana,kaija'ari,pois,ba,tã,énomone,be'ro,janay,waihu'u
kure,xà,pite,akaemo,ꞌym,mbaꞌemo,ɡ̶oneleegiwa,ojipe'g̃a,mré,nhande,adee,awi,amim,—taꞌpîiya.,kua,oajẽm,hã.,hai³­txi³­,xiso,jesu-ra,eles,tsimaha.,aikotã,ákoyea,jesuré,puydï,"nherẽ,"
toytose,jakamã,ipi,inakanhe,oho,aguã.,baɡ̶a,pype,vẽnh,omombeꞌu,aõna,nupe:,kabẽn,morî,ta,je'e,nꞌaa.,tẽ³­sxã­,iraiti,mani,seus,ikia,toꞌe,vanúke,weérã,caynu,di
matose.,ãm,apanakini,xirâ,wanupe,tu,daɡ̶axa,"pe,",ja,"vaꞌe,",tiiboho,aipo,mar,jesusya.,'ãxop,imẽnpuye,baad,a²­hxi²­kan¹­ta²­,maheta,varani,disse:,my,kat,hána'iti,yee,chulinñatacmi,wasu'u
mana,anhỹr,auĩte,kua,taꞌe,ou,noiigi,no.,há,haꞌe,iribi,rakue.,ne.,taa,nõy,õn,hõm,jo³­ãu²­,kalorexe,niha,sua,atakta,uwe,kutí,wee,unay,oto
exiryke,ja,sari,kurâdo,"aꞌe,",raꞌy,naɡ̶ajo,aerẽ,"tóg,",vaꞌerã.,rare,imũ,ajte,imakuiꞌpî,"hãm'ãktu,",ip-,ma,yain³­txa­,exe,oniani,você,iwatsahi,ok,po'i,mɨ'ɨ̂,nunap,aima
maro,koja,itxa,ize,zeꞌeg,uka,diɡ̶ica,nhande,kar,uka,tiu,upe:,djãm,man,xa,"ip,",dꞌ,ĩ³­wa²­lũ­xi²­te³­nah¹­lxi­:,maika,arabo,seu,asaktsa,yne,"xâne,",niî'.,chayurá,si
matose,pa.,pirena,"modo,",ihe,rei,noko,hẽa,fi,oho,rarybere,pe,kêt.,yai,tu:,e'em,moo,ha¹­li¹­,hare,hahavi,isso,sizubarẽtsa,naku,xanéhiko,niîwĩ,rasunpa,marĩ
mokyro,kaxyw,kiki,awylygue,katu,avi,aneotedoɡ̶oji.,nhi'ig̃a,jykre,pene,"series([],",ire,bôx.,mararî,puu,dak.,näng,nxe³­te³­nah¹­lxi­:,maisaiya,nahina,deus,tihi:,taꞌi,hóyeno,kẽ'ra,ima,ta
ãko,akupỹ,iaxitikiri,koendonro,ikatu,pygua,yakadi,hoi,"sir,",oiko,),esage,ren,ya,'ũm,am.,paa,nxe³­ka³­tu̱³­,waiye,hoariha,será,wahoro,sese,enepo,masaré,chuya,e
