f,b,bal,at,is,bar,i,d,abr,a,ab,cr,ins,n,v,desce,c,j,je,pa,antepa,pu,pru,descen
,,,,,,,,,,,,,,,,,joão,,,,,,
,,,,,,,,,abias,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,josafá,,,,,,
,,,,,,,,,,,,,,,,,jorão,,,,,,
,,,,,,,,,,,,,,,,,jotão,,,,,,
,,,,,,,,,acaz,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,josias,,,,,,
,,,,,,,,,,,,,,,,,,jeconias,,,,,
,,,,,,,,,,,,,,,,,,,patas,,,,
,,,,,,,ditas,,,,,,,,,,,,,,,,
,,,,,,,,,amo,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,como,,,,,,,
,,,,,,,,,,,,,,,,,,,,,puros,,
,,,,,,,,,,,,,,vara,,,,,,,,,
,,,,,,,,,,,,,,,,cara,,,,,,,
,,,,,,,,,,,,,,via,,,,,,,,,
,,,,,,,,,,,cria,,,,,,,,,,,,
,,,,,,,dia,,,,,,,,,,,,,,,,
,,,,,,,dois,,,,,,,,,,,,,,,,
,bois,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,depois,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,novo,,,,,,,,,,
,,,,,,,dado,,,,,,,,,,,,,,,,
,,,,,,,,,,abel,,,,,,,,,,,,,
fel,,,,,,,,,,,,,,,,,,,,,,,
fiel,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,abel,,,,,,,,,,,,,,
,,,,isabel,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,abiúde,,,,,,,,,,,,,
,,,,,,,,,abiúde,,,,,,,,,,,,,,
fim,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,vim,,,,,,,,,
,,,,,,,,,aquim,,,,,,,,,,,,,,
,,,,,,,dor,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,cor,,,,,,,
for,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,azor,,,,,,,,,,,,,,
,,,,,,,,,,,,,natã,,,,,,,,,,
,,,,,,,,,,,,,,,,,josé,,,,,,
,,,,,,,,,,,,,,,,crido,,,,,,,
fria,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,cria,,,,,,,
,,,,,,iria,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,varia,,,,,,,,,
,,,,,,,daria,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,pula,,
,,,,,,,,,amado,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,chamado,,,,,,,
,,,,,,,,,assim,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,catorze,,,,,,,
,,,,,,,,,ações,,,,,,,,,,,,,,
,,,,,,,,,,,,,nações,,,,,,,,,,
,,,,,,,desde,,,,,,,,,,,,,,,,
,,,,,,,,,até,,,,,,,,,,,,,,
,,,,,,,,,aí,,,,,,,,,,,,,,
,,,,,,,daí,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,caí,,,,,,,
,,,,,,,,,,,,,,,,cento,,,,,,,
,,,,,,,,,,,,,,vento,,,,,,,,,
,,,,,,,,,,,,,nua,,,,,,,,,,
,,,,,,,,,,,,,,,,casar,,,,,,,
,,,,,,,,,antes,,,,,,,,,,,,,,
,,,,,,,,,,,,,nu,,,,,,,,,,
,,,,,,,,,,,,,,,desceu,,,,,,,,
,,,,,,,,,,,,,,vou,,,,,,,,,
