da,le,pe,ja,ju,p,j,i,bal,is,bar,abr,a,ab,ij,d,k,c,jóg,ijóg,kr,krẽ,jó,ijó,cr
,,,,,,jessé,,,,,,,,,,,,,,,,,,
,,,,,pãꞌi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,dias,,,,,,,,,
,,,,,,,,,,,,,abias,,,,,,,,,,,
,,,,,,joão,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,abias,,,,,,,,,,,,
,,,,,,,,,,,,asa,,,,,,,,,,,,
,,,,,,,isa,,,,,,,,,,,,,,,,,
,,,,,,josafá,,,,,,,,,,,,,,,,,,
,,,,,,jorão,,,,,,,,,,,,,,,,,,
,,,,,,jotão,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,acaz,,,,,,,,,,,,
,,,,,,josias,,,,,,,,,,,,,,,,,,
,,,,,,jy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,kry,,,,
,,,,,,,,,,,,,,ijy,,,,,,,,,,
,,,,,,,,,,,,,,,,kãvy,,,,,,,,
,,,,,,jãvy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,abel,,,,,,,,,,,
,,,,,,,,,israel,,,,,,,,,,,,,,,
,,,,,,,israel,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,cidade,,,,,,,
,,,,,,,,,,,,,,,dia,,,,,,,,,
,,,,,,jã,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,krã,,,,
,,,,,,,,,,,,,,,,kã,,,,,,,,
,,,,,,,ise,,,,,,,,,,,,,,,,,
,,,,,,,,,isỹn,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kỹn,,,,,,,,
,,,,,pỹn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,abel,,,,,,,,,,,,
,,,,,,,,,isabel,,,,,,,,,,,,,,,
,,,,,,,,,,,,,abiúde,,,,,,,,,,,
,,,,,,,,,,,,abiúde,,,,,,,,,,,,
,,,,,,,,,,,,aquim,,,,,,,,,,,,
,,,,,por,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,azor,,,,,,,,,,,,
,,,,,,josé,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kén,,,,,,,,
,,,,,,,,,,,,,,,,,,,,krén,,,,
,,,,,,jén,,,,,,,,,,,,,,,,,,
,,,,,,,,,isén,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kur,,,,,,,,
,,,,,pur,,,,,,,,,,,,,,,,,,,
,,,,,,jur,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,krén,,,,,,,,
,,,,,pãte,,,,,,,,,,,,,,,,,,,
,,,,,,,inh,,,,,,,,,,,,,,,,,
,,,,,,jũnh,,,,,,,,,,,,,,,,,,
,,,,,prũnh,,,,,,,,,,,,,,,,,,,
,,,,,,,,,iser,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ker,,,,,,,,
,,,jagnẽ,,,,,,,,,,,,,,,,,,,,,
,,,,,,jagnẽ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kufy,,,,,,,,
,,,,,,,,,isĩg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,krĩg,,,,
,,,,,,,,,,,,,,,,krĩg,,,,,,,,
,,,,,,,,,,,,,,,,kuprĩg,,,,,,,,
,,,,,,jẽg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,krẽg,,,,
,,,,,pẽg,,,,,,,,,,,,,,,,,,,
,,,,,pir,,,,,,,,,,,,,,,,,,,
,,,jakré,,,,,,,,,,,,,,,,,,,,,
,,,,,,jykré,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kuryj,,,,,,,,
,,,,,,,,,isãg,,,,,,,,,,,,,,,
,,,,,pãg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kór,,,,,,,,
,,,,,pin,,,,,,,,,,,,,,,,,,,
,,,,,pĩnh,,,,,,,,,,,,,,,,,,,
,,,,,,,,,isãnh,,,,,,,,,,,,,,,
,,,,,pãnh,,,,,,,,,,,,,,,,,,,
,,,,,,,,,isovãnh,,,,,,,,,,,,,,,
,,,,,,jykrén,,,,,,,,,,,,,,,,,,
,,,,,,jẽnẽ,,,,,,,,,,,,,,,,,,
,,,jafã,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kafã,,,,,,,,
,,,,,,jafã,,,,,,,,,,,,,,,,,,
,,,,,,jẽnh,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ken,,,,,,,,
,,,,,,,,,,,,,,,,,,,,kren,,,,
,,,,,péti,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,krãn,,,,
,,,,,,,,,,,,,,,,kãn,,,,,,,,
,,,,,,jãn,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,kónãn,,,,,,,,
,,,,,pun,,,,,,,,,,,,,,,,,,,
,,,,,,jun,,,,,,,,,,,,,,,,,,
,,,jatun,,,,,,,,,,,,,,,,,,,,,
