cać,ś,je,dav,milayn,quiqu,wayuyn,cayn,da,d,j,ze,jes,ïg,mansi,sal,sa,s
,,jesusman,,,,,,,,,,,,,,,
,,,,,,,,,dioswan,,,,,,,,
,,,,,,,,,,jawca,,,,,,,
caćhica,,,,,,,,,,,,,,,,,
caćhiman,,,,,,,,,,,,,,,,,
,,,,,,,,,,jamá,,,,,,,
,,,,,quiquinchic,,,,,,,,,,,,
,śhamulá,,,,,,,,,,,,,,,,
caćhamulá,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,sïluca
,,,,,,,caynüpa,,,,,,,,,,
,,,,,,,,,,jucnüpa,,,,,,,
,,,,,,,,,diosman,,,,,,,,
,,,,,,,,,,,,,,,,,sänu
,,,,,,,cayninpi,,,,,,,,,,
,,,,,quiquinpi,,,,,,,,,,,,
,,,,milayninpi,,,,,,,,,,,,,
,,,,,quiquiquip,,,,,,,,,,,,
,,,,,,wayuyniquip,,,,,,,,,,,
,,,,,,,,,,janaman,,,,,,,
,,,,milayninca,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,sïchuśh
,,,,,,,,,,jucha,,,,,,,
,,,,,quiquillan,,,,,,,,,,,,
,,,,milaynillan,,,,,,,,,,,,,
,,,,,,,,,,juluśha,,,,,,,
,,,,,,,,,diospis,,,,,,,,
,,,,,,,,,,,,,,,,,suwapis
,,,,,,,caynümá,,,,,,,,,,
caćhi,,,,,,,,,,,,,,,,,
,,,,,,wayuyninpis,,,,,,,,,,,
,,,,,quiquinpis,,,,,,,,,,,,
,,,,,,,cayninpis,,,,,,,,,,
,śhalun,,,,,,,,,,,,,,,,
,,,,,,,,,,jinaman,,,,,,,
,,,,,,wayuyniyü,,,,,,,,,,,
,,,,,,,,,,juluy,,,,,,,
,,,,,,,,,,juccäpa,,,,,,,
caćhaycun,,,,,,,,,,,,,,,,,
,,,,,,,,,,juyu,,,,,,,
,,,,,,,,,,,,,,,,,sasa
,,,,,,,,,,,,,,,,,supay
,,,,,quiquïtacmi,,,,,,,,,,,,
,,,,,,,cayninpïta,,,,,,,,,,
,,,,,,,,,,,,,,,,,sirbï
,,,,,,,caynïćhu,,,,,,,,,,
caćhamuy,,,,,,,,,,,,,,,,,
,śhamuy,,,,,,,,,,,,,,,,
,,,,,,,caynütá,,,,,,,,,,
,,,,,quiquïchu,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,sänäla
,,,,,,,,,,,,,,,,,suyran
,,,,,,,,,,jucnin,,,,,,,
,,,,,,,,,,jinalla,,,,,,,
,,,,,,,,,,,,,,,,santu,
,,,,,,,,,,jucpis,,,,,,,
,,,,,quiquïtamá,,,,,,,,,,,,
,,,,,,,,,,jananmi,,,,,,,
caćhalcuy,,,,,,,,,,,,,,,,,
,śhalcuy,,,,,,,,,,,,,,,,
,śhutiyu,,,,,,,,,,,,,,,,
,,,,,,,,,,juanpa,,,,,,,
,,,,,,,,,,jananpa,,,,,,,
,,,,,,,,,,,,,,,,sapam,
,,,,,quiquinlä,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,supaypa
,,,,,,,,,,,zebedeop,,,,,,
,,,,,,,,,,jacobo,,,,,,,
,śhalcü,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,sodoma
,,,,,,,,,,,,,,,salbacun,,
,,,,,,,,,,,,,,,,salbacun,
,,,,,,,,,,jananpi,,,,,,,
,,,,,quiquinchu,,,,,,,,,,,,
caćhamäní,,,,,,,,,,,,,,,,,
,,,,,,,,,diospi,,,,,,,,
,,,,,,,,,,juanman,,,,,,,
,,,,,,,,,,jaćhäta,,,,,,,
,,,,,,,,,,jïru,,,,,,,
caćhamul,,,,,,,,,,,,,,,,,
,śhamul,,,,,,,,,,,,,,,,
,,,,,,,,,,juclla,,,,,,,
