a,jo,apa,ap,yna,ky,m,ynan,kyn,ja,re,ta,aseta,t,j
,,,,,,,,,,,,,tiame,
,,,,,,mekaro,,,,,,,,
,,,,,,,,,,,,,,jekaro
,,,,,,,,,,,,,,jesety
,,,,,,,,,,,,,tãtã,
,,,,,,mãtã,,,,,,,,
amoxi,,,,,,,,,,,,,,
,,,,,,,,,,,tapyĩme,,,
,,,,,,,,,,,,,tapyĩme,
akurũ,,,,,,,,,,,,,,
,,,,,,mõtoino,,,,,,,,
,,,,,,,,,,,,,tũtara,
,,,,,,mõtona,,,,,,,,
,,,,,,,,,,,,,tosẽme,
,,,,,,mykyry,,,,,,,,
,,,,,,,,,,,,,tomahke,
,,,,,,,,,,,,,tupuhke,
,,,,,,,,,,,,,tokyke,
,,,,,,,,,,,,,,jeky
,,,,,,,,,,,,,tupise,
akorõme,,,,,,,,,,,,,,
,,,,,,,,,jakorõme,,,,,
,,,,ynanae,,,,,,,,,,
,,,,ynatinerũ,,,,,,,,,,
,,,,,,mirião,,,,,,,,
,,,,,,,,,,,,,tosẽ,
,,,,,,,,,,,,,,jehpyry
ahtaho,,,,,,,,,,,,,,
,,,,,,mytary,,,,,,,,
,,,,,,,,,,,,,tosary,
,,,apatõme,,,,,,,,,,,
apatõme,,,,,,,,,,,,,,
,jomomyry,,,,,,,,,,,,,
,,,,,,,,,,,,,tapõ,
,,,,,,,,,,,,,,japõ
,,,,,,,,,,,takorõkõ,,,
,,,,,,,,,,,,,tohke,
,,,,,,,,,jamitu,,,,,
,,,,,,,,,,,,,,jamitu
,,,,,,,,,,,,,tyrohse,
,,,,,,mykatou,,,,,,,,
aroryke,,,,,,,,,,,,,,
,,,,,,,,,,,,,tupue,
,,,,,,,,,,,,,,jeriko
,,,,,,,,,,,,,tera,
,,,,,,,,,,,,,,jumẽtu
amonanõ,,,,,,,,,,,,,,
,,,,,,,,kynẽmehne,,,,,,
,,,,,,,,,,,taremãse,,,
,,,,,,,,,,,,,tumũkue,
akĩme,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jũkomo
,,,,,,,,,,,,,tonaka,
,,,,,,,,,,,,,tapuru,
,,,apoipory,,,,,,,,,,,
,,,,,,,,,,,,,tupoke,
,,,apuhsẽ,,,,,,,,,,,
,,,,,,mosehro,,,,,,,,
,,,,,,,,,,,takorõke,,,
,,,,,,,,,,,,,tapona,
atapona,,,,,,,,,,,,,,
,,,,,,motara,,,,,,,,
,,,,,,,,,,,,,,jesemy
,,,,,,mity,,,,,,,,
,,,,,,moity,,,,,,,,
,,,,,,,,,,,,,,jetuhxo
,,,,,,,,,jahkatoh,,,,,
ahpĩko,,,,,,,,,,,,,,
,,,,ynatamuru,,,,,,,,,,
,,,apakõme,,,,,,,,,,,
,,,,,,myhto,,,,,,,,
,,,,,,,,,,,taporiry,,,
aporiry,,,,,,,,,,,,,,
,,,,,,,,,,,,,,joepyry
,,,,,,,,,,,,,tapoiry,
,,,,,,,,,,,,,,japoiry
ameke,,,,,,,,,,,,,,
,,,,,kywyh,,,,,,,,,
,,,,,,,,,,,,,tope,
,,,,,,,,,,,,,,jope
,,,,,,,,,,,tanieu,,,
,,,,,,,,,,,,,tanieu,
akoko,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jyhtory
ayhtory,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jesẽ
aynara,,,,,,,,,,,,,,
,,,,,,miu,,,,,,,,
,,,apiu,,,,,,,,,,,
,,,,,,,,,,,,,taryse,
,,,,,,,ynanomõxi,,,,,,,
,,,,ynanomõxi,,,,,,,,,,
,,,apoihpõ,,,,,,,,,,,
apoihpõ,,,,,,,,,,,,,,
,,,,,,,,,,,,,tosemy,
,,,apoiase,,,,,,,,,,,
,,,,,,,,,japoiase,,,,,
apoiase,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jeny
,,,,,kyriase,,,,,,,,,
,,,,,,,,,,,,,,jyriase
,,,,,,myriase,,,,,,,,
,,,,,,munu,,,,,,,,
,,,,,,,,,,,,,tomãse,
,,,apoitoko,,,,,,,,,,,
,,,apiakary,,,,,,,,,,,
,,,,,,,,,,,,,,jesary
,,,,,,,,,,,,,,jupõme
,,,,,,,,,,,,,,jenese
,,,,,,myhe,,,,,,,,
asene,,,,,,,,,,,,,,
,,,apipa,,,,,,,,,,,
,,,,,,,,,,,,,tyzehno,
,,,,,,mykã,,,,,,,,
,,,,,,,,,,,,,tãna,
,,,,,,,,,,,,,,jũmãme
,,,,,,,,,,,,,tuetũkõ,
,,,,,,,,,,,tarõkomo,,,
,,,,,,marono,,,,,,,,
,,,,ynamoto,,,,,,,,,,
,,,,,,,,,,,,,tuose,
,,,,,,moehtou,,,,,,,,
,,,,,,,ynanasene,,,,,,,
,,,,,,,,,,,,,tukuhse,
,,,,,,myakã,,,,,,,,
,,,,,,metatou,,,,,,,,
,,,,,,mykae,,,,,,,,
asamo,,,,,,,,,,,,,,
,,,,,,,ynanẽmehno,,,,,,,
,,,,,,,,,,,,,,jẽmehno
,,,,,,,,,,,,,tynio,
akohko,,,,,,,,,,,,,,
apõpo,,,,,,,,,,,,,,
,,,,,,,,,,,tapõpo,,,
,,,,,,mauru,,,,,,,,
,,,,,,mytaka,,,,,,,,
,,,,,,,,kynorihne,,,,,,
,,,,,,mena,,,,,,,,
,,,,,,,,,,,tapuruse,,,
azawa,,,,,,,,,,,,,,
asãtajã,,,,,,,,,,,,,,
,,,,,,mexino,,,,,,,,
anỹne,,,,,,,,,,,,,,
,,,,,,,,,,,,,totueh,
,,,apoinanõ,,,,,,,,,,,
,,,,,,,,,,,,,tozuhse,
,,,apiata,,,,,,,,,,,
apiata,,,,,,,,,,,,,,
,,,,,,,,,,,,,tupase,
,,,,,,,,,,,,,tomyẽkõ,
,,,,,,,,,,,,,tohpikẽ,
,,,,,,mynoto,,,,,,,,
,,,,,,motãko,,,,,,,,
amereh,,,,,,,,,,,,,,
,,,,,,muruno,,,,,,,,
,,,,ynanakene,,,,,,,,,,
,,,,,,mitaka,,,,,,,,
arykãko,,,,,,,,,,,,,,
,,,,,,,,,,,tapõke,,,
,,,,,,,,,,,,,tapõke,
,,,,,,miume,,,,,,,,
,,,,,,moinõkõ,,,,,,,,
,,,,,,,,,,,tamuruse,,,
,,,,,,,,,jairu,,,,,
,,,,,,,,,,,,,,jairu
,,,,,,,,,,,tarita,,,
,,,,,,,,,,,,,tarita,
,,,,,,,,,,,,,tõxiry,
,,,,,,,,,,,,,tohtae,
,,,,,,,,,,,,,tomire,
,,,,,,myahxo,,,,,,,,
,,,apatao,,,,,,,,,,,
apatao,,,,,,,,,,,,,,
,,,,,,,ynanamoxi,,,,,,,
,,,,ynanamoxi,,,,,,,,,,
,,,,ynanexi,,,,,,,,,,
,,,,,,,,,janexi,,,,,
,,,,,,mykano,,,,,,,,
,,,,,,,,,,,,,toirono,
,,,,,kyryh,,,,,,,,,
,,,,,,merono,,,,,,,,
,,,apakomo,,,,,,,,,,,
asakomo,,,,,,,,,,,,,,
,,,,,,,,,,,,,tuisãpo,
,,,,,,,,,,,,,timeu,
atameke,,,,,,,,,,,,,,
,,,,,,,,,,,,,tysã,
,,,,,,mira,,,,,,,,
apere,,,,,,,,,,,,,,
,,,,,,,,,,,,,topere,
,,,,,kyrypone,,,,,,,,,
,,,,,,,,,,,,,turui,
,,,,,,mokamo,,,,,,,,
,,,,,,,,,,,,,tomese,
,,,,,,,,,,,,,tyrohsẽ,
,,,,,,mỹpõko,,,,,,,,
anỹpõko,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jũsety
,,,,,,,,,,,,,tũsety,
,,,,,,,,,,,,,tõsẽme,
,,,,,,,,,,,,,tyarake,
aehtopo,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jehtopo
awapo,,,,,,,,,,,,,,
,,,,,,,,,,,tapema,,,
,,,,,,,,,,,,,tapema,
,,,,,,,,,,,tapurose,,,
,,,,,,,,,,,,,tokoh,
,,,,,,mexitou,,,,,,,,
,,,,,,,,,,,tamopose,,,
,,,,,,,,,,,tauhpase,,,
,,,,,,,,,,,,,tuhpase,
,,,,,,,,,,,,,tyõtose,
,jowõno,,,,,,,,,,,,,
,,,,,,,,,,,,,,jowõno
,,,,,,,,,,,,,tyorõme,
,,,,,,,,,,,,,teopiro,
,,,,,,merõko,,,,,,,,
,,,,,,,,,,,tamuxime,,,
ajohpã,,,,,,,,,,,,,,
,,,,,,,,,,,,,tõmire,
,,,,,,,,,,,,,,jyrino
,,,,,,,,,,,,,,juteapõ
,,,,,,,,,,,,,tosehke,
,,,,,,,,,,,,,,juãtase
,,,,,,,,,,,,,tuãtase,
aukuxtu,,,,,,,,,,,,,,
,,apapẽ,,,,,,,,,,,,
,,,apapẽ,,,,,,,,,,,
apapẽ,,,,,,,,,,,,,,
,,,,,,,,,,,,,tokykõ,
,,,,,,,,,,,,,,jaĩ
,,,,,,,,,,,,,,jũmane
,,,,,,,,,,,,,tee,
azee,,,,,,,,,,,,,,
,,,,,,metase,,,,,,,,
,,,,,,,ynanetase,,,,,,,
,,,,,,,,,,,,,taomame,
,,,,,,,,,,,,,tymoise,
,,,,,,,,,,,,,tiperiu,
,,,apirene,,,,,,,,,,,
apirene,,,,,,,,,,,,,,
anasa,,,,,,,,,,,,,,
,,,,,,,,,,,,,typapẽ,
,,,,,,,,,,,,,toperẽ,
,,,,,,matate,,,,,,,,
,,,,,,mauki,,,,,,,,
,,,,,,,,,janai,,,,,
,,,,,,,,,,,,,,janai
,,,,,,matia,,,,,,,,
,,,,,,matatia,,,,,,,,
,,,,,,maate,,,,,,,,
,joanã,,,,,,,,,,,,,
,,,,,,,,,,,,,,joanã
,,,,,,meuki,,,,,,,,
,jozue,,,,,,,,,,,,,
,,,,,,,,,,,,,,jozue
,jorĩ,,,,,,,,,,,,,
,,,,,,,,,,,,,,jorĩ
,,,,,,,,,,,,,,jonã
,,,,,,merea,,,,,,,,
,,,,,,matata,,,,,,,,
atimĩ,,,,,,,,,,,,,,
,,apaxati,,,,,,,,,,,,
,,,apaxati,,,,,,,,,,,
apaxati,,,,,,,,,,,,,,
,,,,,,,,,jam,,,,,
,,,,,,,,,,,tam,,,
,,,,,,,,,jarete,,,,,
,,,,,,,,,,,,,,jarete
,,,,,,marareu,,,,,,,,
,,,,,,,,,,,,,,japery
,,,,,,,,,,,,,toehtoh,
,,,,,,,,,,,,,,joehtoh
,,,,,,,,,,,,,tãtome,
,,,,,,,,,,,,,topekõ,
,,,,,,,,,,,,,typoe,
,,,,,,mõpãme,,,,,,,,
,,,,,,,,,,,,,typyno,
anamoto,,,,,,,,,,,,,,
,,,,ynaneto,,,,,,,,,,
,,,,,,,ynanyhnamõ,,,,,,,
,,,,,,makẽ,,,,,,,,
,,,,,,,ynanakẽ,,,,,,,
,,,,,,,,,,,,,,joana
,,,,,,,,,,,tahnose,,,
,,,,,,,,,,,,,tahnose,
,,,,,,mukuxi,,,,,,,,
ajame,,,,,,,,,,,,,,
,,,,,,,ynanytoxi,,,,,,,
,,,,ynanytoxi,,,,,,,,,,
,,,,,,,,,,,,,topity,
,,,,,,moxiaro,,,,,,,,
,,,,,,,,,,,,,tyrityã,
,,,,,,mõtohne,,,,,,,,
,,,,,kyamene,,,,,,,,,
,,,,,,,,,,,,,tyamene,
,,,,,kyyamene,,,,,,,,,
,,,,,,,,,,,,,tuapo,
,,,,,,,,,,,,,tymỹke,
,,,,,,,,,,,,,,jam
,,,,,,,,,,,,,tam,
,,,,,,myhehxo,,,,,,,,
,,,,,,maata,,,,,,,,
,,,,,,,,,,,takamame,,,
,,,,,,,,,,,,,tunary,
,,,,,,,,,,,tahxime,,,
,,,,,,,,,,,,,tahxime,
,,,,,,,,,,,,,tomahpo,
,,,,,,,,,,,,,typyre,
,,,apoixĩpo,,,,,,,,,,,
,,,,,,,,,,,tarõkõme,,,
amaroko,,,,,,,,,,,,,,
,,,,,,,,,,,,,tuamise,
apipa,,,,,,,,,,,,,,
,,,apiakako,,,,,,,,,,,
awihwi,,,,,,,,,,,,,,
,,,,,,,,,,,,,toipãme,
,,,,,,mypary,,,,,,,,
,,,,,,,,,,,,,tonahsã,
,,,,,,,,,,,,,tõxike,
,,,,,,,,,,,,,tupinao,
,,,apoaporo,,,,,,,,,,,
ahkaxi,,,,,,,,,,,,,,
,,,,,,,ynanẽne,,,,,,,
,,,,ynanẽne,,,,,,,,,,
,,,aporesẽ,,,,,,,,,,,
aporesẽ,,,,,,,,,,,,,,
,,,,,,,,,,,,,tõsemy,
,,,,,,,,,,,,,tyritoh,
,,,,,,,,,,,,,tymota,
,,,,,,mahna,,,,,,,,
,,,,,,,,,,,,,topeke,
,,,,,,,,,,,,,,jemahpo
,,,,,,,,,,,,,tãpoo,
aitopo,,,,,,,,,,,,,,
,,apapeny,,,,,,,,,,,,
,,,apapeny,,,,,,,,,,,
apapeny,,,,,,,,,,,,,,
,,,,,,,,,,,,,tãpoome,
,,,,,,,,,,,,,tuhkã,
,,,,,,,,,,,,,tõkuke,
,,,,,,,,,jakaname,,,,,
,,,,,,,,,,,,,touko,
,,,,,,,,,,,,,topume,
,,,,,,moẽ,,,,,,,,
,,,,,,mexihne,,,,,,,,
,,,,,kyritone,,,,,,,,,
,jomikary,,,,,,,,,,,,,
,,,,,,moxiamo,,,,,,,,
,,,,,,,,,,,tasu,,,
,,,,,,,,,,,,,tusuhsu,
,,,,,,,,,,,,,,juruase
,,,,,,myahme,,,,,,,,
,,,,,,,,,,,,,takohse,
,,,,,kysaaro,,,,,,,,,
amorara,,,,,,,,,,,,,,
,,,,,,maropõ,,,,,,,,
,,,,,kyreku,,,,,,,,,
,,,,,,,,,,,,,touta,
,,,,,,,,,,,,,tupueh,
,,,,,,,,,,,taroh,,,
,,,,,,,,,,,,,taroh,
,,,,,,,,,,,,,tuaroh,
,,,,,,meneno,,,,,,,,
,,,,,,,ynaneneno,,,,,,,
,,,,ynaneneno,,,,,,,,,,
,jonukuru,,,,,,,,,,,,,
,,,,,,,,,,,,,,janexi
,,,,,,,,,,,,,tupũke,
,,,,,,,,,,,,,typoero,
,,,,ynanetase,,,,,,,,,,
,,,,,,moeroro,,,,,,,,
,jorihtoh,,,,,,,,,,,,,
arykako,,,,,,,,,,,,,,
anỹtoko,,,,,,,,,,,,,,
,,,,,,,,,,,,,tunãpo,
,,,apopitu,,,,,,,,,,,
apopitu,,,,,,,,,,,,,,
,,,,,,metau,,,,,,,,
,,,,,,mykary,,,,,,,,
,,,,,,,,,,,,,tynioke,
,,,,,,morarã,,,,,,,,
,,,,,,,,,,,tapuremy,,,
,,,,,,,,,,,,,tumyme,
,,,,ynanahe,,,,,,,,,,
apotoh,,,,,,,,,,,,,,
,,,,,,,,kynahko,,,,,,
azahko,,,,,,,,,,,,,,
,,,,,,,ynanetano,,,,,,,
,,,,,,metano,,,,,,,,
,,,,ynanetano,,,,,,,,,,
,,,,,,,,,,,tarõkara,,,
anoryme,,,,,,,,,,,,,,
,,,,,,menene,,,,,,,,
,,,,,kyroe,,,,,,,,,
aroe,,,,,,,,,,,,,,
ariamã,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jenutã
,,,,,,matokeh,,,,,,,,
,,,,,,,,,,,,,tozure,
aytotoh,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jytotoh
,,,,,,,,,,,,,tyõtyke,
,,,,,,,,,,,,,tõmi,
,,,,,,meju,,,,,,,,
,,,,,,,,,,,,,tukuãse,
,,,,,,mosa,,,,,,,,
,,,,,,,,,,,,,tynotao,
,,,,,,,,,,,,,tuaja,
aepytyã,,,,,,,,,,,,,,
,,,,ynamotõme,,,,,,,,,,
akotyry,,,,,,,,,,,,,,
,,,,,,,,,,,,,tauku,
,,,,,,mauku,,,,,,,,
,,,,,kynahko,,,,,,,,,
,,,,ynanexiry,,,,,,,,,,
,,,,,,,,,,,,,tuhpõke,
,,,,,,moroae,,,,,,,,
,,,,,,mosã,,,,,,,,
apaxiry,,,,,,,,,,,,,,
,,,,,,,,,,,,,tonuru,
,,,,,,,,,,,,,tỹkae,
atuhke,,,,,,,,,,,,,,
,,,,,,manỹtou,,,,,,,,
,,,,,,,,,,,,,tymarõ,
,,,,,,merosẽ,,,,,,,,
,,,,,,meroase,,,,,,,,
akapake,,,,,,,,,,,,,,
,,,,,,,,,,,,,tysaaro,
,,,,,,,,,,,,,,juxitu
areta,,,,,,,,,,,,,,
arapia,,,,,,,,,,,,,,
aetỹtyã,,,,,,,,,,,,,,
,,,,,,,,,,,,,toetỹse,
,,,,,,,,,,,,,,joeu
arosene,,,,,,,,,,,,,,
,,,,,,monexiã,,,,,,,,
anania,,,,,,,,,,,,,,
,,,,,,,,,,,,,teuta,
,,,aporu,,,,,,,,,,,
,,,,,,mixia,,,,,,,,
,,,,,,,,,,,,,torẽse,
,,,,,,,,,,,,,,jakome
,,,,,,mitiã,,,,,,,,
asapatũ,,,,,,,,,,,,,,
,,,,,,,ynanytoase,,,,,,,
,,,,,,,,,,,,,tyerykõ,
,,,,,,,,,,,,,totose,
,,,,,,,,,,,,,tũtary,
,,,,,,,,,,,,,tunahxo,
azotu,,,,,,,,,,,,,,
,,,,,,,,,,,tamaxiku,,,
,,,,,,,,,,,,,topohmã,
,,,,,,,,,,,tasupono,,,
,,,,,,,,,,,,,,jenehpo
,,,,,,,,,,,,,tasu,
,,,,,,,,,,,tapita,,,
,,,,,,,,,,,,,tapita,
,,,,,,,,,,,,,toaka,
,,,,,,,,,,,,,typyse,
,jopepõkõ,,,,,,,,,,,,,
,,,,,,,,,,,tarohna,,,
,,,,,,,,,,,,,tarohna,
,,,,,,,,,,,,,tosety,
apeturu,,,,,,,,,,,,,,
akira,,,,,,,,,,,,,,
,,,,,,mũpo,,,,,,,,
,jotỹtory,,,,,,,,,,,,,
akapu,,,,,,,,,,,,,,
,,,,,kyrautiu,,,,,,,,,
amuruko,,,,,,,,,,,,,,
,,,,,,,,,,,tahtah,,,
,,,,,,,,,,,,,tahtah,
,,,,,,,,,,,,,topeme,
,,,,,,manaẽ,,,,,,,,
ahmõta,,,,,,,,,,,,,,
anỹneme,,,,,,,,,,,,,,
,,,,,,,,,,,,,terepe,
,,,,,,,,,,,,,,jupite
,,,,,,,,,,,,,topoe,
ataria,,,,,,,,,,,,,,
asetawi,,,,,,,,,,,,,,
,,,,,,,,,,,,,timoteu,
,,,,,,,,,,,,,tyroa,
amone,,,,,,,,,,,,,,
,,,,,,,ynanytone,,,,,,,
,,,,ynanytone,,,,,,,,,,
,,,aporonia,,,,,,,,,,,
,,,,,,,,,jasão,,,,,
,,,,,,,,,,,,,,jasão
atena,,,,,,,,,,,,,,
,,,,,,,,,,,,,tixiu,
,,,,,,,,,,,tamari,,,
,,,,,,,,,,,,,tamari,
,,,,,kyrixpu,,,,,,,,,
,,,,,kyrexia,,,,,,,,,
aporu,,,,,,,,,,,,,,
,,,,,,,,,,,,,tiranu,
,,,,,,,,,,,tarĩnase,,,
,,,,,,,,,,,,,tiana,
amopỹ,,,,,,,,,,,,,,
,,,,,,merone,,,,,,,,
,,,,,,,,,,,,,tikiku,
,,,,,,miretu,,,,,,,,
asoso,,,,,,,,,,,,,,
aepezu,,,,,,,,,,,,,,
,,,,,,menasõ,,,,,,,,
,,,,,,,,,,,tanỹpose,,,
,,,,,,,,,,,,,tonao,
,,,,,,,,,,,,,,jetonie
,,,,,,,,,,,,,,juaroro
ajo,,,,,,,,,,,,,,
,,,,,,morohno,,,,,,,,
akyripa,,,,,,,,,,,,,,
,,,,,,,,,,,,,,juriu
,,,,,,myhty,,,,,,,,
,,,,,,,,,,,,,tyryhse,
,,,,,,mauta,,,,,,,,
,,,,,,,,,,reziu,,,,
apiu,,,,,,,,,,,,,,
,,,,,,moinõ,,,,,,,,
ayrome,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jaĩkõ
,,,,,,,,,,,,,tyaĩkõ,
apuhne,,,,,,,,,,,,,,
aparao,,,,,,,,,,,,,,
,,,,,,,,,,,,,typye,
,,,,,,marozae,,,,,,,,
apakõme,,,,,,,,,,,,,,
,,,,,,,,,,repeka,,,,
,,,,,,,,,,,,,tapuhse,
,,,,,,,,,,,,,tyrihpõ,
aexityã,,,,,,,,,,,,,,
,,,,,,meia,,,,,,,,
,,,,,,,,,,,,,topuimo,
,,,,,,miumãkõ,,,,,,,,
aoya,,,,,,,,,,,,,,
,,,,,,,,,,,tarykasẽ,,,
,,,,,kypokõkõ,,,,,,,,,
,,,,,,,,,,,,,tokokẽ,
,,,,,,,,,,,,,,jesi
,,,,,,merory,,,,,,,,
,,,,,,,,,,,,,,junia
,,,,,,,,,,,,,,juria
,,,,,,,,,,,,,terexiu,
auhpãko,,,,,,,,,,,,,,
arykary,,,,,,,,,,,,,,
,,,apuary,,,,,,,,,,,
apuary,,,,,,,,,,,,,,
,,,,,,,,,,,,,tozehse,
,,,,,,,,,,,taposẽ,,,
,,,,,,,,,,,,,taposẽ,
,,,,,,,,,,,,,typyxiã,
,,,,,,maxihpe,,,,,,,,
,,,,,,,,,,,,,tuahke,
,,,,,,,,,,,,,tyniokõ,
asakorõ,,,,,,,,,,,,,,
,,,,,,,,,,,,,tõkehse,
axihxo,,,,,,,,,,,,,,
,,,,,,,,,,,,,tũsehke,
,,,,,,,,,,,,,tokoke,
,,,,,,,,,,,,,topẽpyã,
akaiku,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jeano
,,,,,,merotoh,,,,,,,,
,,,,,,,,,,,,,tõmyty,
amururu,,,,,,,,,,,,,,
ajakorõ,,,,,,,,,,,,,,
,,,apoiryke,,,,,,,,,,,
,,,,,kyrekume,,,,,,,,,
apakomo,,,,,,,,,,,,,,
,,,,,,,,,,,,,tumyke,
,,,,,,,,,jakĩtase,,,,,
,,,,,,moutory,,,,,,,,
,,,,,,,,,,,,,tõtouse,
,,,,,kynyrine,,,,,,,,,
atapuro,,,,,,,,,,,,,,
,,,,,,,,,,,,,tymetỹ,
,,,,,,mykyhpõ,,,,,,,,
apururu,,,,,,,,,,,,,,
apoi,,,,,,,,,,,,,,
,,,,,,,,,,,,,tyehno,
,,,,,kymitykõ,,,,,,,,,
akonome,,,,,,,,,,,,,,
,,,,,,,,,,,,,temaxi,
akipu,,,,,,,,,,,,,,
,,,,,,,,,,,,,tumũkuẽ,
,,,,ynanasene,,,,,,,,,,
,,,,ynanakẽ,,,,,,,,,,
akinuru,,,,,,,,,,,,,,
,,,,,,,,,,,,,typake,
,,,,,,,,,,,,,tynoty,
,,,,,,,,,,,,,tyekye,
awakuru,,,,,,,,,,,,,,
axĩpyra,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jupihpõ
apuhsẽ,,,,,,,,,,,,,,
,,,,,kyresẽte,,,,,,,,,
,,,,,,,,,,,taumaxia,,,
,,,,,kyrautia,,,,,,,,,
arytema,,,,,,,,,,,,,,
arakipu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,jukuhne
,,,,,,,,,,,,,taerẽ,
,,,,,,,,kynonuhne,,,,,,
,,,,,,,,,,,tapyime,,,
,,,,,,,,,,,,,tapyime,
,,,,,,,,,jaraohme,,,,,
,,,,,,,,,,,tarỹke,,,
,,,,,,,,,,,,,tarỹke,
,,,,,,,,,,,tahpirẽ,,,
,,,,,,,,,,,,,tahpirẽ,
,,,,,,,,,,,,,tõtuose,
,,,,,,,,kynanỹne,,,,,,
,,,,,kynanỹne,,,,,,,,,
,,,,,,,,,,,taxikase,,,
,,,,,,,,,,,,,,jepete
,,,,,,,,,,,,,typahsã,
anorymã,,,,,,,,,,,,,,
,,,,,,mytyhse,,,,,,,,
anorỹko,,,,,,,,,,,,,,
,,,,,,,,,,,,,tupune,
,,,,,,,,,,,,,tuosẽme,
axitũ,,,,,,,,,,,,,,
,,,,,,,,,,,,,tyamaro,
,,,,,,mikeu,,,,,,,,
,,,,,,,,,,,,,tiatira,
,,,,,,,,,,,,,,juruhpõ
,,,,,,,,,,,,,taere,
,,,,,,,,,,,,,tỹtao,
,,,,,,,,,,,,,,jezapeu
,,,,,,,,,jasape,,,,,
,,,,,,,,,,,,,,jasape
aritu,,,,,,,,,,,,,,
,,,,,,,,,,,,,toare,
amemyry,,,,,,,,,,,,,,
,,,,,,,,,,,,,tomahpõ,
,,,,,,,,,,,,,tapõpo,
,,,,,,,,,,,,,turuẽkõ,
,,,,,,,,,,,,,turuẽ,
arokyry,,,,,,,,,,,,,,
,,,,,,,,,,,tarokyry,,,
,,,,,,,,,,,tahpire,,,
,,,,,,,,,,,,,tahpire,
arikie,,,,,,,,,,,,,,
,,,,,,mytae,,,,,,,,
,,,,,,mytao,,,,,,,,
,,,apoita,,,,,,,,,,,
apoita,,,,,,,,,,,,,,
amurũko,,,,,,,,,,,,,,
aimome,,,,,,,,,,,,,,
,,,,,,,,,,,,,tỹtae,
,,,,,,,,,,,,,tõmiase,
,,,,,,,,,,,,,tuarẽ,
axikaru,,,,,,,,,,,,,,
,,,,,,,,,,,,,tãpaise,
,,,,,,,,,,,,,tonore,
,,,,,,,,,,,,,tupokã,
,,,,,,mamore,,,,,,,,
,,,,,,,,,,,,,tsprt,
,,,,,,munuhpe,,,,,,,,
,,,,,,,,,,,,,tyratõ,
,,,,,,,,,,,,,topazio,
,,,,,,,,,jasĩtu,,,,,
,,,,,,,,,,,,,,jasĩtu
