ly,y,k,t,h,lo,ko,yxau,so,no
,,,tũ²,,,,,,
,,kũ²,,,,,,,
,,,,hĩ²,,,,,
,,kĩ²,,,,,,,
,,,,,,kos²,,,
,,,,,,,,sos²,
,,,tis²,,,,,,
,,kris²,,,,,,,
,yen³,,,,,,,,
,,,,hen³,,,,,
,,,ten³,,,,,,
,yũ³,,,,,,,,
,,,,hũ³,,,,,
,,,tũ³,,,,,,
,,kũ³,,,,,,,
,,,t3su²,,,,,,
,yut3su²,,,,,,,,
,,ki,,,,,,,
,,,ti,,,,,,
,,,,hi,,,,,
,,,,hãi¹,,,,,
,,,tãi¹,,,,,,
,,,txã¹,,,,,,
,,kxã¹,,,,,,,
,,,,,,,,,non²
,,,,,,,yxaun²,,
,,,,,,,,son²,
,,,tãn²,,,,,,
,,,tih²,,,,,,
,,kih²,,,,,,,
,yan³,,,,,,,,
,,,,han³,,,,,
,,kan³,,,,,,,
,,,,hxan³,,,,,
,,kxan³,,,,,,,
,,,txan³,,,,,,
,,,tẽ³,,,,,,
,,kẽ³,,,,,,,
,,,,hẽ³,,,,,
,yũn³,,,,,,,,
,,kũn³,,,,,,,
,,,tũn³,,,,,,
,,,,hũn³,,,,,
,,kxũn³,,,,,,,
,,,txe²,,,,,,
,yxe²,,,,,,,,
,,kxe²,,,,,,,
,,kxi¹,,,,,,,
,,,,hxi¹,,,,,
,,,txi¹,,,,,,
,,,thu¹,,,,,,
,yhu¹,,,,,,,,
,,,txi³,,,,,,
,,kxi³,,,,,,,
,,,,hxi³,,,,,
,,kãn¹,,,,,,,
,yãn¹,,,,,,,,
,,,tãn¹,,,,,,
,yxãn¹,,,,,,,,
,,,txãn¹,,,,,,
,,kxãn¹,,,,,,,
,,kxa¹,,,,,,,
,yxa¹,,,,,,,,
,,,txa¹,,,,,,
,,kĩn¹,,,,,,,
,,,tĩn¹,,,,,,
,,,,hĩn¹,,,,,
,,kxah¹,,,,,,,
,yxah¹,,,,,,,,
,,,tha²,,,,,,
,yha²,,,,,,,,
,,,tin³,,,,,,
,,kin³,,,,,,,
,yain³,,,,,,,,
,,,tain³,,,,,,
,,,,hain³,,,,,
,,,tãi³,,,,,,
,,kãi³,,,,,,,
,,,,hãi³,,,,,
,yuh³,,,,,,,,
,,kuh³,,,,,,,
,,,tuh³,,,,,,
,,khin¹,,,,,,,
,,,thin¹,,,,,,
,,,t1sa²,,,,,,
,,,,,,kot1sa²,,,
,,,tet1sa²,,,,,,
,,,tan²,,,,,,
,,,,han²,,,,,
,,kan²,,,,,,,
,,kxan²,,,,,,,
,,,txan²,,,,,,
,,,twa²,,,,,,
,,kwa²,,,,,,,
,,kũ¹,,,,,,,
,,,,hũ¹,,,,,
,,,tũ¹,,,,,,
,yũ¹,,,,,,,,
,,kho³,,,,,,,
,yho³,,,,,,,,
,,,tho³,,,,,,
,,,t3si¹,,,,,,
,,,,,lot3si¹,,,,
,,,,,,,,,not3si¹
